imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000
tt0058175,Hamlet,Hamlet,1964,1964-09-23,Drama,191,USA,English,"Bill Colleran, John Gielgud",William Shakespeare,Theatrofilm,"Richard Burton, Hume Cronyn, Alfred Drake, Eileen Herlie, William Redfield, George Rose, George Voskovec, Hugh Alexander, Philip Coolidge, Kit Culkin, John Cullum, Michael Ebert, Dillon Evans, Clement Fowler, Geoff Garland","The highly successful 1964 Richard Burton Broadway production of """"Hamlet"""", deliberately staged in the style of a """"dress rehearsal"""", but performed in front of a live audience.",7.4,396,"","","",,18,4,7.4,107.009379409466,740
tt0067919,Karl e Kristina,Utvandrarna,1971,1971-03-08,"Drama, History",191,Sweden,"Swedish, English",Jan Troell,"Bengt Forslund, Jan Troell",Svensk Filmindustri (SF),"Max von Sydow, Liv Ullmann, Eddie Axberg, Sven-Olof Bern, Aina Alfredsson, Allan Edwall, Monica Zetterlund, Pierre Lindstedt, Hans Alfredson, Ulla Smidje, Eva-Lena Zetterlund, Gustaf Färingborg, Åke Fridell, Agneta Prytz, Halvar Björk","Småland, Sweden, mid-19th century. A farming family struggle with their rocky, unyielding land, and decide to embark on the arduous journey to new hope in America.",8,5494,"",$ 1156554,"",,17,34,8,114.211200596297,800
tt0083987,Gandhi,Gandhi,1982,1983-02-17,"Biography, Drama, History",191,"UK, India",English,Richard Attenborough,John Briley,International Film Investors,"Ben Kingsley, Rohini Hattangadi, Roshan Seth, Candice Bergen, Edward Fox, John Gielgud, Trevor Howard, John Mills, Martin Sheen, Ian Charleson, Günther Maria Halmer, Athol Fugard, Saeed Jaffrey, Geraldine James, Alyque Padamsee",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,8,215222,$ 22000000,$ 52767889,$ 52767889,79,300,108,8,113.00557654011,800
tt0111756,Wyatt Earp,Wyatt Earp,1994,1994-10-15,"Adventure, Biography, Crime",191,USA,"English, Spanish",Lawrence Kasdan,"Dan Gordon, Lawrence Kasdan",Warner Bros.,"Kevin Costner, Dennis Quaid, Gene Hackman, David Andrews, Linden Ashby, Jeff Fahey, Joanna Going, Mark Harmon, Michael Madsen, Catherine O'Hara, Bill Pullman, Isabella Rossellini, Tom Sizemore, JoBeth Williams, Mare Winningham",The story of Wyatt Earp as he interacts and battles other famous figures of the Wild West era.,6.7,44565,$ 63000000,$ 25052000,$ 25052000,47,173,48,6.7,92.1282299568927,670
tt0119861,Pardes,Pardes,1997,1997-12-08,"Drama, Musical, Romance",191,India,Hindi,Subhash Ghai,"Subhash Ghai, Subhash Ghai",Mukta Arts,"Shah Rukh Khan, Mahima Chaudhry, Amrish Puri, Apoorva Agnihotri, Alok Nath, Himani Shivpuri, Padmavati Rao, Madhuri Bhatia, Dina Pathak, Benu Kalsi, Smita Jaykar, Pavan Malhotra, Rakesh Thareja, Ajay Nagrath, Aditya Narayan","Kishorilal wants an Indian bride for his westernised son. He gets him engaged to Ganga, his friend's daughter, and brings her to USA. But she shares a deeper bond with Arjun, Kishorilal's foster son.",7,13456,"","","",,26,7,7,98.9942522121121,700
tt0256719,Devadasu,Devadasu,1953,1953-06-26,"Drama, Family, Musical",191,India,Telugu,Vedantam Raghavaiah,"Saratchandra Chatterjee, Samudrala Raghavacharya",Vinoda Pictures,"Akkineni Nageshwara Rao, Savitri, S.V. Ranga Rao, Seeta Rama Anjaneyulu Chilakalapudi, Lalita, Doraiswamy, Satyanarayana Aarani, Sivaram Peketi, Nageswara Rao R., Chandrakumari, Bellary Lalitha, Sitaram, Narasimha Rao Kanchi, Sudhakar","Adapted from a popular Bengali novel, Devadasu narrates the story of a rich guy and poor girl separated by class system of India. Parvati is forcefully married off to a middle-aged rich man and Devadasu becomes a drunkard.",7.4,240,"","","",,4,2,7.4,101.157028677691,740
tt0450158,Statskiy sovetnik,Statskiy sovetnik,2005,2005-04-21,"Drama, Crime",191,Russia,"Russian, Japanese, French",Filipp Yankovskiy,"Boris Akunin, Boris Akunin",Channel One Russia,"Oleg Menshikov, Nikita Mikhalkov, Konstantin Khabenskiy, Vladimir Mashkov, Oleg Tabakov, Oksana Fandera, Mariya Mironova, Mikhail Efremov, Fedor Bondarchuk, Emiliya Spivak, Aleksandr Strizhenov, Aleksey Gorbunov, Pavel Belozerov, Yuriy Golubev, Yuri Kolokolnikov","Third film based on Boris Akunin's """"Priklucheniya Erasta Petrovicha Fandorina"""" series of novels. On a train from St. Petersburg to Moscow general Khrapov was killed and no one else but ...",7.1,2799,$ 4000000,"",$ 7726507,,13,1,7.1,103.583825538283,710
tt0462322,Grindhouse,Grindhouse,2007,2007-09-28,"Action, Horror, Thriller",191,"USA, Canada","English, Spanish","Robert Rodriguez, Eli Roth","Robert Rodriguez, Rob Zombie",Dimension Films,"Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito, Sydney Tamiia Poitier, Tracie Thoms, Rose McGowan, Jordan Ladd, Mary Elizabeth Winstead, Quentin Tarantino, Marcy Harriell, Eli Roth, Omar Doom, Michael Bacall, Monica Staggs",Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the 60s and 70s with two back-to-back cult films that include previews of coming attractions between them.,7.5,176256,$ 67000000,$ 25037897,$ 25422088,77,534,259,7.5,109.138289194364,750
