imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000
tt0006864,Intolerance,Intolerance: Love's Struggle Throughout the Ages,1916,1918-02-24,"Drama, History",163,USA,English,D.W. Griffith,"D.W. Griffith, Anita Loos",Triangle Film Corporation,"Lillian Gish, Mae Marsh, Robert Harron, F.A. Turner, Sam De Grasse, Vera Lewis, Mary Alden, Eleanor Washington, Pearl Elmore, Lucille Browne, Julia Mackley, Miriam Cooper, Walter Long, Tom Wilson, Ralph Lewis","The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",7.8,13875,$ 385907,"","",99,111,77,7.8,112.336481811954,780
tt0036112,Duello a Berlino,The Life and Death of Colonel Blimp,1943,1950-12-16,"Drama, Romance, War",163,UK,"English, French, German","Michael Powell, Emeric Pressburger","Michael Powell, Emeric Pressburger",The Archers,"James McKechnie, Neville Mapp, Vincent Holman, Roger Livesey, David Hutcheson, Spencer Trevor, Roland Culver, James Knight, Deborah Kerr, Dennis Arundell, David Ward, Jan Van Loewen, Valentine Dyall, Carl Jaffe, Albert Lieven","From the Boer War through World War II, a soldier rises through the ranks in the British military.",8.1,12813,GBP 188812,"",$ 30129,,100,80,8.1,111.076191378873,810
tt0053628,Baltiyskoe nebo,Baltiyskoe nebo,1961,1961-03-02,"Drama, History, War",163,Soviet Union,Russian,Vladimir Vengerov,"Nikolai Chukovsky, Nikolai Chukovsky",Lenfilm Studio,"Pyotr Glebov, Vsevolod Platov, Mikhail Ulyanov, Rolan Bykov, Mikhail Kozakov, Nikolai Klyuchnev, Eve Kivi, Inna Kondrateva, Aleksandr Violinov, Lyudmila Gurchenko, Viktor Perevalov, Fyodor Shmakov, Pavel Usovnichenko, Panteleymon Krymov, Boris Arakelov",A story about pilots guarding the sky above Leningrad during WWII.,6.8,126,"","","",,1,,6.8,89.7473338541223,680
tt0053980,Kala Bazar,Kala Bazar,1960,1960,"Crime, Drama, Musical",163,India,Hindi,Vijay Anand,Vijay Anand,Navketan,"Dev Anand, Waheeda Rehman, Nanda, Vijay Anand, Chetan Anand, Leela Chitnis, Madan Puri, Rashid Khan, Krishan Dhawan, Helen, M.A. Latif, Kishore Sahu, Prabhu Dayal, Jagdish Raj, Wasi Khan","A man sells movie tickets on the black market, but starts to have a change of heart after he falls in love.",7.5,244,"","","",,3,,7.5,105.785948385751,750
tt0055411,Saptapadi,Saptapadi,1961,1961-10-20,"Drama, Romance",163,India,Bengali,Ajoy Kar,"Tarashankar Banerjee, Binoy Chatterjee",Alochhaya Productions,"Suchitra Sen, Uttam Kumar, Khitish Acharya, Panchanan Bhattacharya, Amar Biswas, Chhabi Biswas, Kalyan Bose, Parijat Bose, Swagata Chakraborty, Tulsi Chakraborty, Chhayadevi, Mintu Dasgupta, Hemangini Devi, Gloria Dowington, Margarett Drummond","Set in World War II, the reverend Krishnendu runs a military hospital in Bankura. A drunken Anglo-Indian woman soldier is brought to him for treatment and he recognized her as his former love Rina Brown.",8.1,388,"","","",,1,,8.1,110.996799569208,810
tt0080901,Hum Paanch,Hum Paanch,1980,1980-11-27,"Action, Drama",163,India,Hindi,Bapu,"S.R. Puttana Kanagal, Venkata Ramana Mullapoodi",S.K. Films Enterprises,"Sanjeev Kumar, Shabana Azmi, Mithun Chakraborty, Deepti Naval, Naseeruddin Shah, Raj Babbar, Uday Chandra, Gulshan Grover, Amrish Puri, Aruna Irani, Roopesh Kumar, Gita Siddharth, A.K. Hangal, Kanhaiyalal Chaturvedi, Sunder",The wealthy and lecherous Zamindar Thakur Vir Pratap Singh lord over a small region in rural India mercilessly killing anyone who opposes his rule. He gets the male villagers addicted to ...,6.5,175,"","","",,2,,6.5,91.4419739196635,650
tt0089375,Joan Lui - Ma un giorno nel paese arrivo io di lunedì,Joan Lui - Ma un giorno nel paese arrivo io di lunedì,1985,1985-12-25,"Comedy, Drama, Musical",163,"Italy, West Germany",Italian,Adriano Celentano,Adriano Celentano,Alexandra Film,"Adriano Celentano, Claudia Mori, Marthe Keller, Federica Moro, Sherri Anderson, Federico Boido, Aurora Cancian, Gino Cogliandro, Gianni Dall'Aglio, Filippo De Gara, Probo Galluzzi, Giada Gerini, Gian, William Heard Martin, André De La Roche","Joan Lui, a preacher who came from nowhere and without a past, arrives to Italy.",4.9,327,ITL 16000000000,"","",,5,5,4.9,60.3841691604769,490
tt0089646,Muthal Mariyathai,Muthal Mariyathai,1985,1985,Drama,163,India,Tamil,Bharathiraja,Bharathiraja,Manoj Creations,"Shivaji Ganesan, Radha, Renjini, Sathyaraj, Vadivukkarasi, A.K. Veeraswamy",A friendship between a middle-aged upper-caste man in a village and a boatman's daughter raises eyebrows.,7.6,362,"","","",,8,,7.6,107.646927756564,760
tt0093389,L'ultimo imperatore,The Last Emperor,1987,1987-10-23,"Biography, Drama, History",163,"UK, Italy, France","English, Mandarin, Japanese",Bernardo Bertolucci,"Mark Peploe, Bernardo Bertolucci",Recorded Picture Company (RPC),"John Lone, Joan Chen, Peter O'Toole, Ruocheng Ying, Victor Wong, Dennis Dun, Ryuichi Sakamoto, Maggie Han, Ric Young, Vivian Wu, Cary-Hiroyuki Tagawa, Jade Go, Fumihiko Ikeda, Richard Vuu, Tsou Tijger",The story of the final Emperor of China.,7.7,91839,GBP 23000000,$ 43984230,$ 43993508,76,173,85,7.7,102.204870351723,770
tt0099652,Ghayal,Ghayal,1990,1990-06-22,"Action, Crime, Drama",163,India,Hindi,Rajkumar Santoshi,"Lateef Binny, Vijay Deveshwar",Vijayta Films,"Sunny Deol, Amrish Puri, Meenakshi Sheshadri, Moushumi Chatterjee, Kulbhushan Kharbanda, Om Puri, Raj Babbar, Shabbir Khan, Sudesh Berry, Mitwa, Shafi Inamdar, Brahmachari, Sharat Saxena, Annu Kapoor, Viju Khote","Ajay Mehra, an amateur boxer, takes revenge against Balwant Rai, a crooked businessman, after his elder brother is killed.",7.6,3885,"","","",,23,1,7.6,105.300347374504,760
