imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000
tt0053779,La dolce vita,La dolce vita,1960,1960-02-04,"Comedy, Drama",174,"Italy, France","Italian, English, French, German",Federico Fellini,"Federico Fellini, Ennio Flaiano",Riama Film,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Yvonne Furneaux, Magali Noël, Alain Cuny, Annibale Ninchi, Walter Santesso, Valeria Ciangottini, Riccardo Garrone, Evelyn Stewart, Audrey McDonald, Polidor, Alain Dijon, Mino Doro",A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.,8,64595,"","",$ 184376,95,195,156,8,112.319503409615,800
tt0056196,Il lungo viaggio verso la notte,Long Day's Journey Into Night,1962,1963-11-27,Drama,174,USA,English,Sidney Lumet,Eugene O'Neill,First Company,"Katharine Hepburn, Ralph Richardson, Jason Robards, Dean Stockwell, Jeanne Barr","At the end of a long and hot summer day, members of one family gather in a large house. Everyone has something painful and offensive to say, and their silence is even worse.",7.6,4477,$ 500000,"","",,60,25,7.6,109.329230697022,760
tt0056825,Il ribelle dell'Anatolia (America America),America America,1963,1964-10-31,Drama,174,USA,English,Elia Kazan,Elia Kazan,Athena Enterprises,"Stathis Giallelis, Frank Wolff, Harry Davis, Elena Karam, Estelle Hemsley, Gregory Rozakis, Lou Antonio, Salem Ludwig, John Marley, Joanna Frank, Paul Mann, Linda Marsh, Robert H. Harris, Katharine Balfour","A young Anatolian Greek, entrusted with his family's fortune, loses it en route to Istanbul and dreams of going to the United States.",7.8,4756,"","","",,36,30,7.8,111.180621027762,780
tt0060164,La Bibbia,The Bible: In the Beginning...,1966,1966-09-28,Drama,174,"Italy, USA",English,John Huston,Christopher Fry,Dino de Laurentiis Cinematografica,"Michael Parks, Ulla Bergryd, Richard Harris, John Huston, Stephen Boyd, George C. Scott, Ava Gardner, Peter O'Toole, Zoe Sallis, Gabriele Ferzetti, Eleonora Rossi Drago, Franco Nero, Pupella Maggio, Robert Rietty, Peter Heinze","Extravagant production of the first part of the book of Genesis. Covers Adam and Eve, Noah and the Flood and Abraham and Isaac.",6.3,4733,$ 18000000,"","",,59,22,6.3,87.5482775758612,630
tt0063845,Zolotoy telyonok,Zolotoy telyonok,1968,1968-07-08,Comedy,174,Soviet Union,Russian,Mikhail Shvejtser,"Ilya Ilf, Yevgeni Petrov",Mosfilm,"Sergey Yurskiy, Leonid Kuravlyov, Zinoviy Gerdt, Evgeniy Evstigneev, Svetlana Starikova, Nikolay Boyarskiy, Mikhail Kokshenov, Pavel Pavlenko, Pavel Vinnik, Konstantin Voinov, Igor Yasulovich","A crook named Ostap Bender, who survived a murder attempt by Kisa Vorobyaninov in """"12 Chairs,"""" now schemes to extort 1 million from an underground millionaire.",8.3,2381,"","","",,2,,8.3,114.91078877382,830
tt0072860,Deewaar,Deewaar,1975,1975-01-24,"Action, Crime, Drama",174,India,Hindi,Yash Chopra,"Javed Akhtar, Javed Akhtar",Trimurti Films Pvt. Ltd.,"Amitabh Bachchan, Shashi Kapoor, Nirupa Roy, Parveen Babi, Neetu Singh, Manmohan Krishna, Madan Puri, Iftekhar, Satyendra Kapoor, Sudhir, Rajpal, Jagdish Raj, Kuljit Singh, Raj Kishore, Yunus Parvez","Vijay struggles as a dockworker and eventually becomes a leading figure of the underworld, while his younger brother Ravi is an educated, upright policeman. This divide causes problems in their relationship.",8.1,9887,"","",$ 65317,,29,4,8.1,112.028313375628,810
tt0097466,Guru,Guru,1989,1989-01-01,Crime,174,India,Hindi,Umesh Mehra,"Ram Kelkar, Javed Siddiqui",Shivshakti Productions,"Mithun Chakraborty, Sridevi, Shakti Kapoor, Roopesh Kumar, Amrit Pal, Yunus Parvez, Bob Christo, Arun Bakshi, Sameer Khakhar, Seema Deo, Javed Khan, Suresh Bhagwat, Master Bunty, Salim Khan Ding-Dong, Jainendra","A young man wants to join the police force. When he fails, in frustration he joins a smuggling gang instead.",5.6,102,"","","",,2,,5.6,69.3846220211884,560
tt0098168,Ram Lakhan,Ram Lakhan,1989,1989-01-27,"Action, Drama, Musical",174,India,Hindi,Subhash Ghai,"Subhash Ghai, Ram Kelkar",Mukta Arts,"Rakhee Gulzar, Jackie Shroff, Anil Kapoor, Dimple Kapadia, Madhuri Dixit, Gulshan Grover, Amrish Puri, Paresh Rawal, Anupam Kher, Saeed Jaffrey, Raza Murad, Dalip Tahil, Annu Kapoor, Satish Kaushik, Sonika Gill","Ram Lakhan is the story of two brothers who part ways due to their ideological differences, but how they come to each other's rescue as the story unfolds.",6.8,2238,"","","",,4,1,6.8,94.8281376091632,680
tt0098491,Toofan,Toofan,1989,1989-08-11,"Action, Crime",174,India,Hindi,Ketan Desai,"Salim Khan, Salim Khan",M.K.D. Films Combine,"Amitabh Bachchan, Meenakshi Sheshadri, Amrita Singh, Farooq Shaikh, Kamal Kapoor, Goga Kapoor, Zarina Wahab, Sushma Seth, Raza Murad, Mahesh Anand, Jack Gaud, Pran, Master Makrand, Master Amit Shukla, Javed Rizvi",Honest police officer Hanuman Prasad Singh lives like friend and family with a magician by the name of Ramesh Kumar. Hanuman's wife passes away after giving birth to male twin babies; upon ...,4.9,672,"","","",,7,2,4.9,65.8788257448081,490
tt0098999,Agneepath,Agneepath,1990,1990-02-16,"Action, Crime, Drama",174,India,Hindi,Mukul Anand,"H. Banerjee, Kader Khan",Dharma Productions,"Amitabh Bachchan, Mithun Chakraborty, Madhavi, Neelam Kothari, Danny Denzongpa, Alok Nath, Rohini Hattangadi, Tinnu Anand, Vikram Gokhale, Archana Puran Singh, Master Manjunath, Sharat Saxena, Goga Kapoor, Monty Sharma, Avtar Gill","A young boy's quest for revenge leads him to become a gangster as an adult, and with each day he becomes more and more like his enemies. Can he find vengeance and redemption?",7.7,8142,"","","",,46,5,7.7,106.058486881217,770
tt0104561,Jo Jeeta Wohi Sikandar,Jo Jeeta Wohi Sikandar,1992,1992-05-22,"Comedy, Drama, Romance",174,India,"Hindi, English",Mansoor Khan,"Nasir Hussain, Mansoor Khan",Nasir Hussain Films,"Aamir Khan, Ayesha Jhulka, Deepak Tijori, Pooja Bedi, Kulbhushan Kharbanda, Mamik Singh, Kiran Zaveri, Ahmed Khan, Ravindra Kapoor, Deb Mukherjee, Aditya Lakhia, Deven Bhojani, Miki Khan, Prakash, Sooraj Thapar","A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race.",8.2,21237,"","","",,34,1,8.2,115.63887024205,820
tt0130350,Vishwatma,Vishwatma,1992,1992-01-24,"Action, Drama, Thriller",174,India,Hindi,Rajiv Rai,"",Trimurti Films Pvt. Ltd.,"Naseeruddin Shah, Sunny Deol, Chunky Pandey, Sonam, Divya Bharti, Jyotsna Singh, Raza Murad, Gulshan Grover, Amrish Puri, Dalip Tahil, Sharat Saxena, Tej Sapru, Mahesh Anand, Dan Dhanoa, Anand Balraj","A cop and a criminal, both on their respective missions of duty and revenge, go from India to Kenya in order to extradite a reclusive crime lord to India.",6.5,1127,"","","",,8,,6.5,92.9308001122558,650
tt0200087,Sarfarosh,Sarfarosh,1999,1999-04-30,"Action, Drama",174,India,Hindi,John Mathew Matthan,"Hriday Lani, John Mathew Matthan",Cinematt Pictures,"Aamir Khan, Naseeruddin Shah, Sonali Bendre, Mukesh Rishi, Akash Khurana, Smita Jaykar, Sukanya Kulkarni, Ahmed Khan, Pradeep Singh Rawat, Makrand Deshpande, Shri Vallabh Vyas, Rajesh Joshi, Ali Khan, Upasna Singh, Salim Shah","After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.",8.1,23578,"",$ 288733,$ 288733,,26,1,8.1,111.09582820449,810
tt0222024,Hum Tumhare Hain Sanam,Hum Tumhare Hain Sanam,2002,2002-05-24,"Drama, Romance",174,India,Hindi,K.S. Adiyaman,"K.S. Adiyaman, Arun Kumar",B.M.B. Pictures,"Shah Rukh Khan, Madhuri Dixit, Salman Khan, Atul Agnihotri, Suman Ranganath, Aishwarya Rai Bachchan, Alok Nath, Aruna Irani, Laxmikant Berde, Vikas Anand, Asha Sharma, Payal Malhotra, Dinesh Hingoo, Azad Khatri, Sajal Bohra","Gopal's blissful married life with Radha blemishes when Radha gets obsessed with the career of her friend, Suraj, who is a singer. Ripped apart by jealousy, Gopal deserts Radha.",5.4,6317,"","",$ 899867,,18,13,5.4,75.5849074328607,540
tt0250227,Ayirathil Oruvan,Ayirathil Oruvan,1965,1965-07-09,"Action, Adventure",174,India,Tamil,B. Ramakrishnaiah Panthulu,R.K. Shanmugam,"","Jayalalitha J, R.S. Manohar, Nagesh, M.N. Nambiar, N.S. Natarajan, M.G. Ramachandran, S.V. Ramadoss, L. Vijayalakshmi",Enslaved convicts for treason plan escape but get caught by pirates and work for them before gaining their support and fighting back their country's authoritarian rule.,7.1,175,"","",$ 443008,,1,,7.1,100.463852788162,710
tt0262281,Bhookailas,Bhookailas,1958,1958-06-01,"Drama, Musical",174,India,"Telugu, Hindi",K. Shankar,Samudrala Raghavacharya,A.V.M. Productions,"Taraka Rama Rao Nandamuri, Akkineni Nageshwara Rao, Jamuna, S.V. Ranga Rao, Nagabhushanam, Saroja Devi B., Hemalatha, Saroja E.V., Helen, Gopi Krishna, Kamla Laxman, Venkayya Mahankali, Vijaya Nirmala","Ravana, the king of Lanka gets tricked by various people in the process of attaining ' Athmalinga ' from Shiva.",7.1,138,"","","",,,1,7.1,96.6795968658107,710
tt0284083,Ek Rishtaa: The Bond of Love,Ek Rishtaa: The Bond of Love,2001,2001-05-18,"Drama, Family",174,India,Hindi,Suneel Darshan,"Suneel Darshan, Robin Bhatt",Shree Krishna International,"Amitabh Bachchan, Rakhee Gulzar, Akshay Kumar, Karisma Kapoor, Mohnish Bahl, Juhi Chawla, Simone Singh, Ashish Vidyarthi, Alok Nath, Anang Desai, Kanika Kohli, Kunickaa Sadanand, Mayur Verma, Avtar Gill, Tej Sapru","Vijay Kapoor, a wealthy businessman and his family are deceived by Rajesh, Vijay Kapoor's employee and son in law. A struggle begins by both father-son duos to regain their business and position.",5,1496,"","",$ 335431,,9,2,5,70.259164085859,500
tt0308347,Haan Maine Bhi Pyaar Kiya,Haan Maine Bhi Pyaar Kiya,2002,2002-02-15,"Drama, Musical, Romance",174,India,Hindi,Dharmesh Darshan,"Dharmesh Darshan, Dharmesh Darshan",Shree Krishna International,"Akshay Kumar, Karisma Kapoor, Abhishek Bachchan, Kader Khan, Himani Shivpuri, Shakti Kapoor, Navneet Nishan, Mohnish Bahl, Supriya Karnik, Sophiya Haque, Shweta Menon, Upasna Singh, Dolly Bindra, Razak Khan, Simone Singh",Shiv (Abhishek Bachchan) and Pooja (Karisma Kapoor) are happily married to each other but sometimes can get into the most petty arguments coming from the way they approach life. Shiv takes ...,3.7,1204,"","",$ 395148,,6,3,3.7,52.0081771301211,370
tt0315255,Bangarada Manushya,Bangarada Manushya,1972,1972-03-31,Drama,174,India,Kannada,Siddalingaiah,"Hunsur Krishnamurthy, Siddalingaiah",Rajkamal Arts,"Rajkumar, Bharathi, Loknath, Balkrishna, Arathi, M.P. Shankar, B.V. Radha, Srinath, B.S. Dwarakish, Vajramuni, Lakshmidevi, Advani Lakshmi Devi, M.N. Lakshmi Devi, B. Hanumanthachar, Bangalore Nagesh",Rajeeva comes to the village to visit his sister only to find that she's in financial trouble and has lost her husband. He decides to stay and help her out.,8.8,727,"","","",,3,,8.8,124.96848106163,880
tt0347332,La divisa,Khakee,2004,2004-01-23,"Action, Crime, Drama",174,India,"Hindi, Urdu",Rajkumar Santoshi,"Shridhar Raghavan, Rajkumar Santoshi",D.M.S. Films,"Amitabh Bachchan, Akshay Kumar, Ajay Devgn, Aishwarya Rai Bachchan, Tusshar Kapoor, Atul Kulkarni, Jaya Prada, Prakash Raj, Sabyasachi Chakrabarty, D. Santosh, Kamlesh Sawant, Tanuja, Radhika Menon, Ashwini Kalsekar, Lara Dutta",A team of police force escorts an alleged terrorist from Chandangarh to Mumbai. However their trip turns into a deadly survival when an ex-cop tries to stop them to reach Mumbai.,7.4,14788,"",$ 587877,$ 924170,,38,11,7.4,98.6233541533874,740
tt0370279,Anbe Vaa,Anbe Vaa,1966,1966,"Comedy, Romance",174,India,Tamil,A.C. Trilogchander,"Arurdoss, A.C. Trilogchander",AVM Productions,"M.G. Ramachandran, Saroja Devi B., Nagesh, Aachi Manorama, S.A. Ashokan, Ramachandran T.R., M.S.S. Bhagyam, Madhavi, T.P. Muthulakshmi, S.V. Ramadoss, P.D. Sambandam",A rich industrialist finds romance in comic mix-up at a hill station.,7,145,"","","",,2,,7,98.9309311003738,700
tt0371775,Khel,Khel,2003,2003-11-11,"Action, Crime, Drama",174,India,Hindi,Yusuf Khan,"",Galaxy Entertainment Corp. Ltd.,"Sunny Deol, Sunil Shetty, Ajay Jadeja, Celina Jaitly, Rana Jung Bahadur, Mohan Bhandari, Gulshan Grover, Mohan Joshi, Supriya Karnik, Suhasini Mulay, Rahul Parmar, Vivek Shauq, Deepak Shirke",Two friends falling in love with the same girl leads to murder and intrigue.,4,451,"","",$ 1678216,,6,1,4,47.2188176813732,400
tt0408181,Shankar Dada MBBS,Shankar Dada MBBS,2004,2004-10-15,Comedy,174,India,Telugu,Jayant Paranji,"Rajkumar Hirani, Gopalakrishna Paruchuri",Gemini Film Circuit,"Chiranjeevi, Meka Srikanth, Sonali Bendre, Paresh Rawal, Girish Karnad, Sivaji Raja, M.S. Narayana, Anjala Zaveri, Pawan Kalyan, Duvvasi Mohan, Devi Sri Prasad, Banerjee, Karuna Bhushan, Chalapathi Rao, Gauhar Khan",A doctor treats patients with humanity (not with medicines).,7.4,1493,INR 120000000,"","",,2,3,7.4,102.216126397342,740
tt0455829,Vettaiyaadu Vilaiyaadu,Vettaiyaadu Vilaiyaadu,2006,2006-08-25,"Action, Crime, Thriller",174,India,Tamil,Gautham Menon,"Dasaradh, Meghana Karthik",Photon Factory,"Kamal Haasan, Jyotika, Prakash Raj, Daniel Balaji, Saleem Baig, Kamalinee Mukherjee, Rajashri, Lev Gorn, Yog Japee, Ajay Naidu, Aahuthi Prasad, Karma, Stun Shiva, Vtv Ganesh, Tirlok Malik","A Police Officer investigates a series of brutal rapes and murders, with the culprits seeming to cover more than one country.",7.9,6464,INR 240000000,"",$ 7888,,37,2,7.9,111.331219481057,790
tt0457391,Jai Chiranjeeva,Jai Chiranjeeva,2005,2005-12-21,"Action, Comedy, Drama",174,India,Telugu,Vijay K. Bhaskar,"Vijay K. Bhaskar, Trivikram Srinivas",Vyjayanthi Movies,"Chiranjeevi, Bhoomika Chawla, Sameera Reddy, Suneel, Brahmanandam, Rahul Dev, Venu Madhav, Arbaaz Khan, Tanikella Bharani, Jayaprakash Reddy, M.S. Narayana, Sudha, A.V.S. Subramanyam, Dharmavarapu Subramanyam, Sujitha","Sathyanarayana Murthy, a farmer from Amalapuram, swears vengeance on criminals who killed his niece.",5.8,491,$ 5000000,"","",,4,4,5.8,79.1583544219436,580
