,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000,decade
50432,tt0826507,2 S¸per Film Birden,2 S¸per Film Birden,2006,9/29/2006,"Comedy, Drama",95,Turkey,Turkish,Murat Seker,"Erol AdilÁe, Selami Genli",Sugarworkz,"Tim Seyfi, Murat Akkoyunlu, Ugur Polat, Beste Bereket, Cahit Berkay, Yasemin ‡ñzt¸rk, Nejat Isler, Atilla Saral, Suzan Aksoy, Orhan Kocatas, Feridun D¸zagaÁ, Fatih Koyunoglu",NA,5.2,714,NA,NA,"$47,360 ",NA,NA,1,5.2,68.92107,520,2000 - 2010
51547,tt0927575,29 February,2 wol 29 il,2006,7/20/2006,"Horror, Thriller",90,South Korea,Korean,Jong-hoon Jung,Il-han Yoo,CJ Entertainment,"Eun-jin Baek, Yoon-jeong Choi, Hyeon-kyeong Im, Myeong-jin Lee, Ho Lim, Eun-hye Park, Yeon-su Yu","Ji-yeon, a tollgate ticket girl, is frightened by a mysterious black car, which hands over a bloodstained ticket as a fee at midnight. Her fear deepens after her colleague, Jong-sook, tells...",5.7,753,NA,NA,"$229,521 ",NA,6,6,5.7,78.11493,570,2000 - 2010
72521,tt3752610,2 anni d'amore,2 Years of Love,2017,1/24/2017,Romance,88,USA,NA,Thadd Turner,"Lenny Mesi, Lenny Mesi",Talmarc Film Productions,"Ryan Merriman, Kayla Ewell, Sarah Minnich, Chris Bylsma, Thadd Turner, Catharine E. Jones, Merritt C. Glover, Catherine Haun, Amy Baklini, Chris Ranney, Darcel Danielle, Kim Trujillo, Diana Gaitirira, Mischa DeWalt, Shawn Patrick Boyd",Samantha a popular 'Dear Abby' radio show host feels her biological clock ticking and is ready to start a family - if only she could convince her out of work husband John.,4.8,242,"$3,000,000 ",NA,NA,NA,2,NA,4.8,68.46595,480,2010 - 2020
72794,tt3828796,2 yˆt‰ aamuun,2 yˆt‰ aamuun,2015,4/15/2016,"Drama, Romance",84,"Finland, Lithuania","English, French, Finnish",Mikko Kuparinen,Mikko Kuparinen,Artbox,"Marie-JosÈe Croze, Arly Jover, Mikko Nousiainen, Sakalas Uzdavinys, Gabija Siurbyte, Andrius Ziurauskas, Melana Kublickaite, Linas Mikuta, Vytautas Medineckas, Paulius Jurgaitis, Jonas Braskys, Larisa Kalpokaite, Juozas Mikolaitis, Zigmantas Baranauskas, Ugne Suprinaviciute",One-night stand between two strangers without a common language takes an unexpected turn when an ash cloud from a volcano prevents all flights from taking off.,6.1,702,"$1,300,000 ",NA,"$90,144 ",NA,3,11,6.1,86.0673,610,2010 - 2020
73267,tt3959094,2/11 Het spel van de wolf,2/11 Het spel van de wolf,2014,10/2/2014,Drama,90,Netherlands,"Dutch, English, Arabic",Thomas Korthals Altes,"Theodor Holman, Gijs van de Westelaken",Column Film,"Susan Visser, Johan Leysen, Pierre Bokma, William Hope, Tijn Docter, Mike Reus, Gerson Oratmangoen, Merijn de Jong, Lot van Lunteren, Joris Smit, Ali Cifteci, Petra Laseur, Mehrnoush Rahmani, Hanne Arendzen, Ishan Mohiddin",The conspiracy: the killing of,5.2,112,EUR 600000,NA,NA,NA,NA,2,5.2,71.80474,520,2010 - 2020
30325,tt0118534,2/dyuo,2/dyuo,1997,8/2/1997,Drama,90,Japan,Japanese,Nobuhiro Suwa,NA,Bitters End,"Eri Yu, Miyuki Yamamoto, Hidetoshi Nishijima, Makiko Watanabe","Yu, an employee at a clothing boutique, lives with Kei, an out-of-work actor who lives off of her. When one day he asks her to get married, the balance of their relationship seems to be irremediably disturbed.",6.9,121,NA,NA,NA,NA,2,5,6.9,100.6255,690,1990 - 2000
73826,tt4136828,2:Hrs,2:Hrs,2018,7/30/2018,Family,85,UK,NA,D. James Newton,Roland Moore,Makelight Productions,"Harry Jarvis, Ella-Rae Smith, Alhaji Fofana, Keith Allen, Siobhan Redmond, Seann Walsh, Marek Larwood, Kirsty Dillon, Fabienne Piolini-Castle, Tomi May, Zara Symes, Lelia Yvetta, Andromeda Godfrey, Bruce Herbelin-Earle, Flynn Matthews",Slacker Schoolboy Tim is an expert in wasting time. So what happens when he discovers he has two hours left to live?,4.9,404,NA,NA,NA,NA,14,10,4.9,68.65632,490,2010 - 2020
12102,tt0058859,2+5: Missione Hydra,2+5: Missione Hydra,1966,10/2/1966,"Adventure, Sci-Fi",89,Italy,Italian,Pietro Francisci,"Ian Danby, Pietro Francisci",Golden Motion Pictures,"Leonora Ruffo, Mario Novelli, Roland Lesaffre, Kirk Morris, Alfio Caltabiano, Leontine Snell, Nando Angelini, Giovanni De Angelis, Mirella Pamphili, John Sun, Antonio Ho, John Chen, Gordon Mitchell","Aliens from the constellation Hydra crash-land on the island of Sardinia. A prominent scientist, his daughter, several young technicians, and a pair of Oriental spies are taken hostage by ...",4.3,369,NA,NA,NA,NA,23,20,4.3,61.4998408,430,1960 - 1970
65202,tt2186812,20 anni di meno,20 ans d'Ècart,2013,5/9/2013,"Comedy, Romance",92,France,"French, English",David Moreau,"Amro Hamzawi, Amro Hamzawi",Echo Films,"Virginie Efira, Pierre Niney, Charles Berling, Gilles Cohen, AmÈlie Glenn, Camille Japy, MichaÎl Abiteboul, Camille PÈlicier, Jenna Azoulay, Camille Chalons, Louis-Do de Lencquesaing, Aude PÈpin, Arthur Mazet, Sophie-Marie Larrouy, Marcella Sbraletta","Alice works for """"Rebelle"""" magazine, where she needs to let her hair down to get a promotion. When Balthazar returns a lost USB to Alice, the appearance of dating someone half her age helps her. Does it get real?",6.4,8625,NA,NA,"$12,604,999 ",NA,5,33,6.4,86.90419,640,2010 - 2020
46051,tt0421528,20 centimetri,20 cent‡≠metros,2005,8/26/2005,"Comedy, Musical",112,"Spain, France","Spanish, French, English",RamÛn Salazar,RamÛn Salazar,Aligator Producciones,"MÛnica Cervera, Pablo Puyol, Miguel O'Dogherty, Concha Gal·n, Pilar Bardem, Rossy de Palma, Lola DueÒas, Juan Sanz, Richard Shaw, Najwa Nimri, Mar‡≠a Lalane, Inma Olmos, Pepa Charro, Pep Noguera, Cayetana M·rquez",A narcoleptic transvestite who yearns to become a transsexual dreams up elaborate musical numbers in which she's the star.,6.6,1753,NA,"$6,635 ","$439,632 ",58,14,13,6.6,93.5975,660,2000 - 2010
32588,tt0138987,20 Dates - L'amore in 20 incontri,20 Dates,1998,8/25/2000,"Biography, Comedy, Romance",87,USA,English,Myles Berkowitz,Myles Berkowitz,Phoenician Films,"Myles Berkowitz, Elisabeth Wagner, Richard Arlook, Tia Carrere, Robert McKee, Elie Samaha, Tom Ardavany, Emily Arlook, Rachel Arlook, Barbara Cameron, Signy Coleman, Letitia Fox, Greg Kita, Michelle Madden, Stephanie Magid",A documentary type film about the dates Myles has gone on as he tries to find out how to find love in the future.,5.4,1657,"$60,000 ","$541,636 ","$541,636 ",36,82,32,5.4,76.48996,540,1990 - 2000
46180,tt0424757,20 Fingers,20 Fingers,2004,9/1/2004,Drama,72,Iran,Persian,Mania Akbari,Mania Akbari,NA,"Bijan Daneshmand, Mania Akbari","A film in several episodes with Bijan Daneshmand and Mania Akbari, exposing some of the issues of men and women within the confines of tradition and family life in Iran. Each episode ...",6.6,414,NA,NA,NA,NA,7,7,6.6,95.258,660,2000 - 2010
67629,tt2516610,20 Ft Below: The Darkness Descending,20 Ft Below: The Darkness Descending,2014,1/21/2016,Thriller,91,USA,English,Marc Clebanoff,Frank Krueger,Odyssey Motion Pictures,"Danny Trejo, Kinga Philipps, Frank Krueger, Tiffany Adams, Kristoff St. John, Louis Mandylor, Michael Rene Walton, Wylie Small, John Hennigan, Darren Darnborough, Melina Perez, Sara Maraffino, Magdaleno Robles Jr., Cowen Angus Bailey, Chase Austin",Below the streets of New York is a dark and dangerous world hidden in the shadows of abandoned subway tunnels and miles of forgotten infrastructure. When a young documentary filmmaker goes ...,2.6,543,NA,NA,NA,NA,12,13,2.6,35.90178,260,2010 - 2020
45573,tt0411058,20 Funerals,20 Funerals,2004,6/27/2004,"Action, Crime, Thriller",76,USA,English,Anghus Houvouras,Anghus Houvouras,Swirl Films,"D.J. Naylor, Mark Mench, Tyhm Kennedy, Alex Tsiros, Brett Claywell, Stephen Bax, Big Boi, Antwan Brown, Kevin Dunlap, Chantice Edwards, Jessica Framstead, Big Gipp, Mic Holmes, Shana Jung, Anthony Lawson","After a fellow Officer's funeral, 4 Cops decide that the only way to get rid of the criminal element is to stop arresting the criminals, and start burying them.",5.3,241,"$145,000 ",NA,NA,NA,7,3,5.3,76.01647,530,2000 - 2010
37335,tt0230172,20 gynaikes ki ego!,20 gynaikes ki ego!,1973,9/23/1973,Comedy,98,Greece,Greek,Giannis Dalianidis,"Giannis Dalianidis, Giannis Dalianidis",Finos Film,"Kostas Voutsas, Betty Livanou, Smaro Stefanidou, Eleni Mavromati, Mary Metaxa, Kaiti Ibrohori, Lydia Lenosi, Eirini Markogianni, Anthi Gounari, Vilma Tsakiri, Katerina Bourlou, Anna Metallidou, Hrysi Kariori, Rania Ioannidou, Elda Georgopoulou","Surrounded by women, a lingerie designer resorts to a desperate plan to keep his marriage secret from his mother and his three sisters, hoping that the right time will soon come to announce it. How long will the newly-weds have to wait?",5.4,154,NA,NA,NA,NA,1,1,5.4,74.44022,540,1970 - 1980
8975,tt0050084,A 30 milioni di Km dalla Terra,20 Million Miles to Earth,1957,6/1/1957,"Action, Adventure, Fantasy",82,USA,English,Nathan Juran,"Robert Creighton Williams, Christopher Knopf",Morningside Productions,"William Hopper, Joan Taylor, Frank Puglia, John Zaremba, Thomas Browne Henry, Tito Vuolo, Jan Arvan, Arthur Space, Bart Braverman","The first U.S. spaceship to Venus crash-lands off the coast of Sicily on its return trip. A dangerous, lizard-like creature comes with it and quickly grows gigantic.",6.4,6254,NA,NA,NA,NA,110,72,6.4,93.82841704,640,1950 - 1960
3466,tt0032178,Giuramento di sangue,20 Mule Team,1940,5/3/1940,"Action, Adventure, Comedy",84,USA,English,Richard Thorpe,"Owen Atkinson, Robert C. DuSoe",Metro-Goldwyn-Mayer (MGM),"Wallace Beery, Leo Carrillo, Marjorie Rambeau, Anne Baxter, Douglas Fowley, Noah Beery Jr., Berton Churchill, Arthur Hohl, Clem Bevans, Charles Halton, Minor Watson, Oscar O'Shea, Lloyd Ingraham","In California's Death Valley, in 1892, Borax ore miners scratch a hard living until a map pinpointing the location of high-grade Borax ore surfaces, sending prospectors and crooks alike into a gold-rush-like frenzy.",6.4,229,NA,NA,NA,NA,6,1,6.4,86.68626388,640,1940 - 1950
49331,tt0497701,20 Nights,20 nuits et un jour de pluie,2006,2/8/2006,Drama,85,"France, Germany","Vietnamese, Indonesian, English, French, German",L‚m LÍ,"Elisabeth D., Elizabeth D. Inandiak",L'Autre Rivage,"Natalia Wˆrner, Eric Nguyen, Monic Arijanto, Santha Leng, Lephen Purwanto, Liam Nguyen","She was fleeing the West, and he the East. She was European, light-skinned, on her way back from Java, at the edge of the world. Once North-Vietnamese, now a proud Frenchman, he had an ...",4.1,148,EUR 2060000,NA,"$1,903 ",NA,2,1,4.1,62.93941,410,2000 - 2010
55033,tt1179019,20 sigaret,20 sigaret,2007,10/11/2007,"Action, Comedy, Drama",90,Russia,Russian,Aleksandr Gornovskiy,"Dmitriy Sobolev, Dmitriy Sobolev",DANAIS Films,"Oskar Kuchera, Ilya Lyubimov, Anna Slynko, Maksim Sukhanov, Galina Tyunina, Olga Volkova","One day, a successful executive at an advertising agency in Moscow smokes a whole pack of cigarettes. Each cigarette marks a string of increasingly fierce events. His personal life is in danger. Can he make the right decision?",5.4,140,"$1,500,000 ",NA,"$1,516,417 ",NA,3,1,5.4,73.57498,540,2000 - 2010
58942,tt1517805,20 sigarette,20 sigarette,2010,9/8/2010,"Drama, War",94,Italy,Italian,Aureliano Amadei,"Aureliano Amadei, Francesco Trento",R&C Produzioni,"Vinicio Marchioni, Carolina Crescentini, Giorgio Colangeli, Orsetta De Rossi, Andrea Iaia, Alberto Basaluzzo, Antonio Gerardi, Edoardo Pesce, Nicola Nocella, Duccio Camerini, Silvio Laviano, Giovanni Carroni, Vanni Fois, Stefano Mereu, Fabrice Scott",Autobiographical story about an assistant director who receives an offer to shoot a film in Iraq.,6.6,730,NA,NA,"$332,955 ",NA,6,17,6.6,94.49673,660,2010 - 2020
77795,tt5475468,20 Weeks,20 Weeks,2017,6/19/2017,"Drama, Romance",90,USA,English,Leena Pendharkar,Leena Pendharkar,Meritage Pictures,"Richard Riehle, Michelle Krusiec, Jocelin Donahue, Amir Arison, Sujata Day, Melanie Avalon, Anna Margaret Hollyman, Olga Aguilar, Bill Dawes, Robin McDonald, Sapna Gandhi, Andy Gates, Zakary Risinger, Sophia Rose Nikolov, Emily Button",A couple must decide on how to move forward when their baby is diagnosed with a serious health condition at the 20 week scan.,5.1,143,NA,NA,NA,NA,9,12,5.1,66.96763,510,2010 - 2020
63983,tt2040245,20 Year Old Virgins,20 Year Old Virgins,2011,2011,Comedy,97,USA,English,Jordan F. Ghanma,Jordan F. Ghanma,Dead Sea Productions,"Ramez Alkhoury, Sam Cantergiani, Dylan Couto, Alex Farhat, Danielle Ferreira, Samantha Fife, Jordan F. Ghanma, Heather Gilliland, Bruce Haig, Julia Heller, Jenine Hertzmann, Tea Ho, Jessica June, Larry Kitagawa, Albert J Leon","A coming-of-age story about two dim-witted 20-year-old roommates, Gene & Eugene, and their quest to lose their virginity. Their new plans hit a few snags when they must deal with their ...",4.7,518,"$50,000 ",NA,NA,NA,1,NA,4.7,63.23698,470,2010 - 2020
50414,tt0825279,20 Years After,20 Years After,2008,2008,"Drama, Fantasy, Sci-Fi",95,USA,English,Jim Torres,"Ron Harris, Jim Torres",Kooroc Films,"Joshua Leonard, Azura Skye, Diane Salinger, Aaron Hendry, Nathan Baesel, Reg E. Cathey, Charlie Talbert, Malika Haqq, Khadijah Haqq, Shannon Eubanks, Dan Beene, Deborah Duke, Philip Neil Parker, Graham Roden, Skylar Howie","Everything that could go wrong did go wrong: War, Terrorism, Natural Disasters. Evacuees were ushered from the cities to refugee camps in the surrounding counties. In-fighting, famine and ...",3.2,1488,"$1,000,000 ",NA,NA,NA,33,14,3.2,44.63613,320,2000 - 2010
64,tt0006333,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",1916,12/24/1916,"Action, Adventure, Sci-Fi",105,USA,English,Stuart Paton,Jules Verne,Williamson Submarine Film Corporation,"Dan Hanlon, Edna Pendleton, Curtis Benton, Allen Holubar, Matt Moore, Jane Gail, Howard Crampton, William Welsh, Lois Alexander, Wallis Clark",A French professor and his daughter accompany Captain Nemo on an adventure aboard a submarine.,6.2,1501,"$200,000 ",NA,NA,NA,28,24,6.2,88.71651061,620,1910 - 1920
49374,tt0498755,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",1985,12/17/1985,"Animation, Action, Adventure",50,Australia,English,Warwick Gilbert,"Stephen MacLean, Jules Verne",Burbank Films Australia,"Tom Burlinson, Colin Borgonon, Paul Woodson, Liz Horne, Alistair Duncan, Gilbert Christian","In 1866, a sea monster is hunting the depths of the oceans and rising only to attack and destroy military ships. Experts around the world are trying to discover the identity of the monster and destroy it before even more lives are lost.",6.2,123,NA,NA,NA,NA,2,NA,6.2,81.69137,620,1980 - 1990
7852,tt0046672,20.000 leghe sotto i mari,"20,000 Leagues Under the Sea",1954,9/12/1955,"Adventure, Drama, Family",127,USA,English,Richard Fleischer,Earl Felton,Walt Disney Productions,"Kirk Douglas, James Mason, Paul Lukas, Peter Lorre, Robert J. Wilke, Ted de Corsia, Carleton Young, J.M. Kerrigan, Percy Helton, Ted Cooper","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",7.2,28578,"$9,000,000 ",NA,NA,83,143,71,7.2,101.4112468,720,1950 - 1960
1483,tt0023731,20.000 anni a Sing Sing,"20,000 Years in Sing Sing",1932,12/24/1932,"Crime, Drama, Film-Noir",78,USA,English,Michael Curtiz,"Lewis E. Lawes, Wilson Mizner",First National Pictures,"Spencer Tracy, Bette Davis, Arthur Byron, Lyle Talbot, Warren Hymer, Louis Calhern","Brash hoodlum Tom Connors enters Sing Sing cocksure of himself and disrespectful toward authority, but his tough but compassionate warden changes him.",6.9,2345,NA,NA,NA,NA,37,16,6.9,101.8986827,690,1930 - 1940
50482,tt0829086,"20,13","20,13",2006,12/21/2006,"Drama, Mystery, War",114,Portugal,Portuguese,Joaquim Leit„o,"Tino Navarro, Lu‡≠s Lopes",MGN Filmes,"Marco D'Almeida, Adriano Carvalho, Carla Chambel, Maya Booth, Ivo Canelas, Nuno Nunes, Pedro Varela, QuimbÈ, LourenÁo Henriques, Marco Paiva, Manuel Melo, Nuno Gil, C‚ndido Ferreira, J˙lio CÈsar, AngÈlico Vieira","Mozambique, 24th of December 1969, a Portuguese army patrol return to headquarters bringing in a prisoner. A few hours later, he is found dead in his cell. Who killed him? and why? tensions...",6.5,201,EUR 1300000,NA,NA,NA,1,5,6.5,93.91247,650,2000 - 2010
65661,tt2241376,20.000 Besos,20.000 Besos,2013,9/26/2013,Comedy,91,Argentina,Spanish,Sebasti·n De Caro,Sebastian Rotstein,Aeroplano Cine,"Carla Quevedo, Eduardo Blanco, Clemente Cancela, Walter Corn·s, GastÛn Pauls, Alberto Rojas Apel, Alan Sabbagh","Juan is a thirty who is bored with her current life. Time ago that you don't see your friends and only is dedicated to work - in a boring place - and to groom. Overwhelmed a day routine, ...",5.8,482,NA,NA,"$116,733 ",NA,NA,1,5.8,76.22743,580,2010 - 2020
44708,tt0387805,200 American,200 American,2003,8/10/2003,"Comedy, Drama, Romance",84,USA,English,Richard LeMay,Richard LeMay,Wolfe Video,"Matt Walton, Sean Matic, Anthony Ames, John-Dylan Howard, Mark Ford, Gail Herendeen, Lucy Smith, Spencer Aste, Justin Durishin, David W. Ross, Ruth Nicolas, Constance Reardon, Rick Poli, Ed Ferruzza, Elie Finkelstein","Conrad is a gay man living in NYC. He's also CEO of an ad agency and by nature a control freak. Although Conrad is still in love with Martin (his ex), he hires a young Aussie hustler named ...",5.3,784,NA,NA,NA,NA,29,4,5.3,70.47268,530,2000 - 2010
64359,tt2082155,200 Cartas,200 Cartas,2013,9/12/2013,"Comedy, Romance",98,"Puerto Rico, USA","Spanish, English",Bruno Irizarry,Bruno Irizarry,Vanguardia Films,"Lin-Manuel Miranda, Jaime Camil, Dayanara Torres, Monica Steuer, Mayra Matos PÈrez, Victor Alicea, Neville Archambault, Davila Belkies, Julitza Berberena, Rose Breedlove, Alexandria Carbone, Iris ChacÛn, Loren Colon, Omar Cruz Soto, Alfredo De Quesada","Raul, a Puerto Rican born in New York, meets Maria, a young Puerto Rican woman visiting NY, one night. Struck by love at first sight, he travels to Puerto Rico in search of this beautiful girl.",7,404,NA,"$9,338 ","$9,338 ",NA,4,2,7,99.18613,700,2010 - 2020
32472,tt0137338,200 Cigarettes,200 Cigarettes,1999,6/2/2000,"Comedy, Drama, Romance",101,USA,English,Risa Bramon Garcia,Shana Larsen,Dogstar Films,"Ben Affleck, Casey Affleck, Jennifer Albano, Jenni Blong, Morgan Brown, Caleb Carr, Dave Chappelle, Elvis Costello, Guillermo D‡≠az, Angela Featherstone, Patrick Frederic, Janeane Garofalo, Gaby Hoffmann, Kate Hudson, David Johansen","A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.",6,14470,"$6,000,000 ","$6,852,450 ","$6,852,450 ",33,182,72,6,84.51409,600,1990 - 2000
75661,tt4762592,200 Degrees,200 Degrees,2017,6/6/2017,Thriller,91,USA,NA,Giorgio Serafini,Garry Charles,Smoke Hammer Media,"Eric Balfour, LaDon Drummond, Joe Grisaffi, Kristin Cochell, Larry Wade Carrell, Johnny Sinclair, Wyatt Wright, Harold McCall, Julia Overby, Rachel Potter, Chris Palin, Sarina Steed, Jeff Runge","Ryan Hinds awakes inside a sealed industrial kiln. He is sent challenges by a voice with no face, pushed to the limits of human endurance as the temperature within the kiln begins to rise.",4.4,480,NA,NA,NA,NA,12,5,4.4,60.29897,440,2010 - 2020
14792,tt0066732,200 Motels,200 Motels,1971,11/20/1971,"Comedy, Fantasy, Music",98,USA,English,"Tony Palmer, Frank Zappa","Frank Zappa, Tony Palmer",Bizarre Productions,"Mark Volman, Howard Kaylan, Ian Underwood, Aynsley Dunbar, George Duke, Theodore Bikel, Keith Moon, Jimmy Carl Black, Janet Neville-Ferguson, Martin Lickert, Lucy Offerall, Dick Barber, Don Preston, Pamela Des Barres, Ruth Underwood","""""Touring makes you crazy"""", Frank Zappa says, explaining that the idea for this movie came to him while the Mothers of Invention were touring. The story, interspersed with performances by ...",5.9,1845,"$679,000 ",NA,NA,NA,46,22,5.9,81.42262084,590,1970 - 1980
39013,tt0264323,2001 Maniacs,2001 Maniacs,2005,7/13/2006,"Comedy, Horror",87,USA,English,Tim Sullivan,"Chris Kobin, Tim Sullivan",BloodWorks,"Robert Englund, Lin Shaye, Giuseppe Andrews, Jay Gillespie, Marla Malcolm, Dylan Edrington, Matthew Carey, Peter Stormare, Gina Marie Heekin, Brian Gross, Mushond Lee, Bianca Smith, Brendan McCarthy, Adam Robitel, Christa Campbell","Eight college students travelling to Florida for Spring Break stumble into a remote town in Georgia, where they are set upon by the residents.",5.3,11856,"$3,000,000 ",NA,"$368,976 ",NA,120,108,5.3,71.11877,530,2000 - 2010
50867,tt0858411,2001 Maniacs: Field of Screams,2001 Maniacs: Field of Screams,2010,2/27/2010,"Comedy, Horror",84,USA,English,Tim Sullivan,"Chris Kobin, Tim Sullivan",Tax Credit Finance,"Bill Moseley, Lin Shaye, Christa Campbell, Kevin 'ohGr' Ogilvie, Andrea Leon, Ahmed Best, Katy Johnson Evans, Asa Hope, Alex Luria, Larayia Gaston, Miles Dougal, Trevor Wright, Jordan Yale Levine, Alana Curry, Ryan Fleming","When this year's round of unsuspecting Northerners fail to show up for their annual Guts N' Glory Jamboree, the residents of Pleasant Valley take their cannibalistic carnival on the road, ...",3.2,2235,NA,NA,NA,NA,62,46,3.2,45.64159,320,2010 - 2020
39468,tt0272425,Reptilian,2001 Yonggary,1999,7/17/1999,"Action, Fantasy, Sci-Fi",99,South Korea,"Korean, English",Hyung-rae Shim,"Marty Poole, Hyung-rae Shim",Korea Pictures,"Richard Livingston, Harrison Young, D.J. Robbins, Brad Sergi, Donna Philipson, Wiley M. Pickett, Dan Cashman, William Hankins, Eric Briant Wells, Julie Kessler, Matthew Perniciaro, Wilborn Monroe Kilpatrick Jr., Dennis Howard, Matt Landers, Johanna Parker",It's been asleep for two hundred million years. Now it been awakened by aliens from another galaxy. The aliens are using Yonggary to destroy mankind.,2.6,1561,KRW 10000000000,NA,NA,NA,42,41,2.6,41.09793,260,1990 - 2000
13355,tt0062622,2001: Odissea nello spazio,2001: A Space Odyssey,1968,12/12/1968,"Adventure, Sci-Fi",149,"UK, USA","English, Russian",Stanley Kubrick,"Stanley Kubrick, Arthur C. Clarke",Metro-Goldwyn-Mayer (MGM),"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter, Leonard Rossiter, Margaret Tyzack, Robert Beatty, Sean Sullivan, Douglas Rain, Frank Miller, Bill Weston, Ed Bishop, Glenn Beck, Alan Gifford, Ann Gillis","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",8.3,587866,"$12,000,000 ","$60,541,301 ","$68,989,547 ",84,2163,267,8.3,114.9635741,830,1960 - 1970
33494,tt0157262,2001: Un'astronave spuntata nello spazio,2001: A Space Travesty,2000,9/7/2001,"Comedy, Sci-Fi",99,"Canada, Germany",English,Allan A. Goldstein,"Alan Shearman, Vince Di Clemente",Cinevent,"Leslie Nielsen, OphÈlie Winter, Ezio Greggio, Peter Egan, Alexandra Kamp, Damien Masson, Pierre Edwards, David Fox, Sam Stone, Verona Pooth, Michel Perron, Paul Rainville, Yvan Ducharme, Marc Hervieux, Perry Canestrari",Marshal Dix is to free US president from aliens on the int'l lunar base. A clone has replaced him in The White House. Can Dix prevent an alien invasion?,3.6,11337,"$45,000,000 ",NA,"$270,813 ",NA,94,3,3.6,48.94791,360,2000 - 2010
39483,tt0273045,2001: Do Hazaar Ek,2001: Do Hazaar Ek,1998,2/20/1998,"Crime, Mystery, Thriller",149,India,Hindi,Raj N. Sippy,NA,NA,"Jackie Shroff, Dimple Kapadia, Tabu, Rajat Bedi, Suresh Oberoi, Gulshan Grover, Deven Verma, Mohan Joshi, Sharat Saxena, Navneet Nishan, Sadashiv Amrapurkar, Mukesh Khanna, Upasna Singh, Sunil Dhawan, Anil Nagrath","Following the brutal slaying of a call-girl named Julie in Bombay city, two police inspectors, namely Anil Sharma and Rajat Bedi, are assigned to investigate and bring the culprit(s) to ...",3.6,106,NA,NA,NA,NA,1,1,3.6,47.06418,360,1990 - 2000
40776,tt0294252,2009 loseuteu maemorijeu,2009 loseuteu maemorijeu,2002,2/1/2002,"Action, Drama, Sci-Fi",136,"South Korea, Japan","Korean, Japanese",Si-myung Lee,"Sang-hak Lee, Si-myung Lee",ADV Films,"Dong-Gun Jang, TÙru Nakamura, Jin-ho Seo, Goo Shin, Ho-jin Chun, Kil-kang Ahn, Rick Burford, Victor Carsrud, Luci Christian, Kaytha Coker, Masaaki Daimon, Marty Fleck, John Gremillion, Jay Hickman, ShÙhei Imamura","A failed assassination attempt in Harbin, China in 1909 changes the course of history. Now two JBI agents must find the connections between it and an ancient Korean artifact.",6.1,3217,"$7,000,000 ",NA,"$12,049,825 ",40,40,32,6.1,83.44014,610,2000 - 2010
21258,tt0086837,2010 - L'anno del contatto,2010: The Year We Make Contact,1984,3/28/1985,"Adventure, Mystery, Sci-Fi",116,USA,"English, Russian",Peter Hyams,"Arthur C. Clarke, Peter Hyams",Metro-Goldwyn-Mayer (MGM),"Roy Scheider, John Lithgow, Helen Mirren, Bob Balaban, Keir Dullea, Douglas Rain, Madolyn Smith Osborne, Dana Elcar, Taliesin Jaffe, James McEachin, Mary Jo Deschanel, Elya Baskin, Saveliy Kramarov, Oleg Rudnik, Natasha Shneider","A joint U.S.-Soviet expedition is sent to Jupiter to learn what happened to the Discovery, and H.A.L.",6.8,48850,"$28,000,000 ","$40,400,657 ","$40,400,657 ",53,250,91,6.8,95.22748,680,1980 - 1990
20734,tt0085125,2019 - Dopo la caduta di New York,2019 - Dopo la caduta di New York,1983,7/22/1983,"Action, Horror, Sci-Fi",96,"Italy, France","Italian, English",Sergio Martino,"Ernesto Gastaldi, Ernesto Gastaldi",Nuova Dania Cinematografica,"Michael Sopkiw, Valentine Monnier, Anna Kanakis, Romano Puppo, Paolo Maria Scalondro, Louis Ecclesia, Edmund Purdom, Serge Feuillard, Tiziana Fibi, Hal Yamanouchi, Alessandra Tani, Jacques Stany, Siriana Hernandez, Tony Askin, Franco Mazzieri","After a nuclear war, society breaks down into two groups, the evil Euraks and the rebel Federation. A mercenary named Parsifal is hired by the Federation to infiltrate New York City, which ...",5.6,2726,NA,NA,NA,NA,40,68,5.6,77.66014,560,1980 - 1990
