,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000,decade
66262,tt2319739,41,41,2012,7/21/2015,"Drama, Sci-Fi",80,Australia,English,Glenn Triggs,Glenn Triggs,Dark Epic Films,"Chris Gibson, Dafna Kronental, David Macrae, Shane Lee, Keith Gordon, Nick Antoniades, Menik Gooneratne, Glen Hancox, Robert Plazek, Warwick Leeson, Matt Young, Lauren Wade, Anne Cordiner, Toby Pierpoint, Peter Bright",A young man discovers a hole in the floor of a local motel that leads to yesterday.,6.4,1435,NA,NA,NA,NA,51,1,6.4,89.40231,640,2010 - 2020
47410,tt0453562,42 - La vera storia di una leggenda americana,42,2013,4/12/2013,"Biography, Drama, Sport",128,USA,English,Brian Helgeland,Brian Helgeland,Warner Bros.,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni, Ryan Merriman, Lucas Black, AndrÈ Holland, Alan Tudyk, Hamish Linklater, T.R. Knight, John C. McGinley, Toby Huss, Max Gail, Brad Beyer, James Pickens Jr.","In 1947,",7.5,83372,"$40,000,000 ","$95,020,213 ","$97,470,701 ",62,248,222,7.5,101.8624,750,2010 - 2020
60176,tt1629439,51,51,2011,7/28/2011,"Horror, Sci-Fi, Thriller",90,USA,English,Jason Connery,"Kenny Yakkel, Lucy Mukerjee",After Dark Films,"Tammi Arender, Randy Austin, Jillian Batherson, Bruce Boxleitner, Vanessa Branch, Beau Brasseaux, Sean Paul Braud, Lena Clark, Ivan Djurovic, J.D. Evermore, Ryan H. Jackson, Damon Lipari, Jason London, Jed Maheu, Rachel Miner","When reporters are granted access to Area 51 Air Force base, a breach of security turns the protected government base into a horrifying destination of terror.",3.5,2959,"$1,000,000 ",NA,NA,NA,37,30,3.5,51.76526,350,2010 - 2020
31185,tt0120577,Studio 54,54,1998,11/19/1999,"Drama, Music",93,USA,English,Mark Christopher,Mark Christopher,Dollface,"Ryan Phillippe, Salma Hayek, Neve Campbell, Mike Myers, Sela Ward, Breckin Meyer, Sherry Stringfield, Ellen Albertini Dow, Cameron Mathison, Noam Jenkins, Jay Goede, Patrick Taylor, Heather Matarazzo, Skipp Sudduth, Aemilia Robinson",The famous 1970s New York City nightclub seen and told through the eyes of a young employee.,5.9,31181,"$13,000,000 ","$16,757,163 ","$16,757,163 ",33,196,69,5.9,78.9003,590,1990 - 2000
45485,tt0408470,69,69,2004,7/10/2004,Drama,114,Japan,Japanese,Sang-il Lee,"Ry‡˚ Murakami, KankurÙ KudÙ",Asahi Broadcasting Corporation (ABC),"Satoshi Tsumabuki, Masanobu AndÙ, Y‡˚ta Kanai, Asami Mizukawa, Rina Ohta, YÙko Mitsuya, Hirofumi Arai, Hideko Hara, Ittoku Kishibe, Jun Kunimura, KyÙhei Shibata, Kenny Scott, Noriko Eguchi, Tasuku Emoto, Gen Hoshino","A group of rebellious teenagers cause mischief and disorder in a 1969 Sasebo, Nagasaki, Japan as a result of tensions from their school and a US military base.",6.8,441,NA,NA,"$4,551,540 ",NA,2,5,6.8,96.24792,680,2000 - 2010
71326,tt3465074,88,88,2015,5/8/2015,"Action, Thriller",88,Canada,English,April Mullen,"Tim Doiron, Tim Doiron",WANGO Films,"Katharine Isabelle, Christopher Lloyd, Tim Doiron, Kyle Schmid, Michael Ironside, Jesse McCartney, Reila Aphrodite, April Mullen, Anthony Ulc, Mickey Moon, Michael Orr, Dax Ravina, A.C. Peterson, Michael Xavier, John White","A young woman comes to in a roadside diner with no idea where she is or how she got there. Split between two timelines, she gets taken on a violent journey as she seeks out the person responsible for her lover's death.",5,3169,NA,NA,NA,NA,21,30,5,73.3003,500,2010 - 2020
73203,tt3947356,89,89,2015,4/24/2015,"Crime, Mystery, Thriller",109,India,Bengali,Manoj Michigan,"Samik Roy Choudhury, Manoj Michigan",Magic Motionz Moviez,"Saswata Chatterjee, Raima Sen, Shataf Figar, Adam Jeffers, Barun Chanda, Biplab Dasgupta, Koushik Ghosh, Koushik Mukherjee, Samik Roy Choudhury, Malay Ghosh","89 is a gripping crime thriller that journeys through trauma, psychological warfare, murders and finally retribution.",6.5,240,"$500,000 ",NA,NA,NA,3,NA,6.5,93.1332,650,2010 - 2020
78133,tt5599826,91.1,91.1,2016,4/8/2016,"Comedy, Drama",108,Turkey,Turkish,Mustafa Haktanir,Mustafa Haktanir,NA,"Ali Barkin, Gunes Sayin, Hakan Kurtas, Mustafa Uzunyilmaz, Derya Alabora, Sevil Aki, Basak Akan, Ali Akdal, Mert Aydin, Hakan Bilgin, Asil Buyukozcelik, Burcu Cavrar, Sadi Celil Cengiz, Cem C¸cenoglu, Elvan Disli","The story of 3 different generations living in the same city. Alper, his best friend Soner and his long-time girlfriend Hazan are studying at the same university. Lately the relation ...",6.4,219,NA,NA,"$2,081 ",NA,NA,NA,6.4,85.98604,640,2010 - 2020
80666,tt6489100,95,95,2017,12/25/2017,"Comedy, Drama, Sport",106,"Finland, Sweden","Finnish, Swedish",Aleksi M‰kel‰,"Tatiana Elf, Juha Karvanen",Yellow Film & TV,"Laura Birn, Lauri Tilkanen, Jens HultÈn, Frida Hallgren, Samuli Edelmann, Pamela Tola, Pekka Strang, Vincent Willestrand, Mikko Leppilampi, Samuli Niittym‰ki, Oscar Skagerberg, Saara Kotkaniemi, Katariina Havukainen, Riitta Havukainen, Matti Onnismaa",Final weekend of the 1995 Ice Hockey World Championship Games in Helsinki and Stockholm.,5.2,547,NA,NA,"$539,966 ",NA,NA,NA,5.2,73.05075,520,2010 - 2020
81689,tt7019842,96,96,2018,10/4/2018,"Drama, Romance",158,India,Tamil,C. Prem Kumar,C. Prem Kumar,Madras Enterprises,"Vijay Sethupathi, Trisha Krishnan, Varsha Bollamma, Adithya Bhaskar, Gouri Kishan, Devadarshini Chetan, Janakaraj, Murugadass, Bagavathi Perumal, Kavithalaya Krishnan, Niyathi Kadambi, Gowthamraj, Shyam Prasad",Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,8.6,16525,NA,NA,"$616,333 ",NA,382,21,8.6,123.6889,860,2010 - 2020
