imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000
tt0012249,Amleto,Hamlet,1921,1921-01-27,Drama,131,Germany,German,"Svend Gade, Heinz Schall","Erwin Gepard, Edward P. Vining",Art-Film GmbH,"Asta Nielsen, Paul Conradi, Mathilde Brandt, Eduard von Winterstein, Heinz Stieda, Hans Junkermann, Anton De Verdier, Lilly Jacobson, Fritz Achterberg","Danish silent movie-star Asta Nielsen formed her own production company to make this film, in which new elements are combined with features (and a few lines) familiar from Shakespeare's ...",7,382,"","","",,5,8,7,98.4966662414712,700
tt0028217,Sant Tukaram,Sant Tukaram,1936,2013-10-24,Biography,131,India,"Marathi, Hindi","Vishnupant Govind Damle, Sheikh Fattelal",Shivram Vashikar,Prabhat Films,"Vishnupant Pagnis, Gauri, B. Nandrekar, Shankar Kulkarni, Kusum Bhagwat, Shanta Majumdar, Master Chhotu, Pandit Damle, Kaka Bhagvat, Sri Bhagwat","This classic film chronicles the life of Tukaram (17th C.), one of Maharashtra's most popular saint poets, activating the 20th-C. resonances of his turning away from courtly Sanskrit ...",6.7,218,"","","",,3,1,6.7,93.4475899502584,670
tt0028873,La lucciola,The Firefly,1937,1937-11-05,"History, Musical, Romance",131,USA,English,Robert Z. Leonard,"Frances Goodrich, Albert Hackett",Metro-Goldwyn-Mayer (MGM),"Jeanette MacDonald, Allan Jones, Warren William, Billy Gilbert, Douglass Dumbrille, Henry Daniell, Leonard Penn, Tom Rutherford, Belle Mitchell, George Zucco, Corbet Morris, Matthew Boulton, Robert Spindola","Nina Maria Azara is the beautiful and alluring singing spy for Spain during the Napoleonic Wars. Her mission is to seduce French Officers, in order for them to reveal Napolean's intentions ...",6.9,329,"","","",,12,3,6.9,94.7319749037652,690
tt0033868,Il maggiore Barbara,Major Barbara,1941,1946-09-06,Comedy,131,UK,English,"Gabriel Pascal, Harold French","George Bernard Shaw, George Bernard Shaw",Gabriel Pascal Productions,"Wendy Hiller, Rex Harrison, Robert Morley, Robert Newton, Sybil Thorndike, Emlyn Williams, Marie Lohr, Penelope Dudley-Ward, Walter Hudd, David Tree, Deborah Kerr, Donald Calthrop, Marie Ault, Cathleen Cordell, Torin Thatcher","A young and idealistic woman, who has adopted the Salvation Army and whose father is an armament industrialist, will save more souls directing her father's business. A comedy with social commentary.",6.9,1140,"","","",,23,12,6.9,95.0373354159514,690
tt0045693,Due ettari di terra,Do Bigha Zamin,1953,1953,Drama,131,India,Hindi,Bimal Roy,"Salil Choudhury, Paul Mahendra",Bimal Roy Productions,"Balraj Sahni, Nirupa Roy, Rattan Kumar, Murad, Rajlakshmi Devi, Nana Palsikar, Noor, Nasir Hussain, Rekha Mallick, Misra, Chitra, Jagdeep, Sarita Devi, Dilip Kumar Jr., Tiwari","In the hope of earning enough money to pay off his debts and save his land, a poor farmer becomes a rickshaw puller in the Calcutta and faces many difficulties.",8.4,1710,"","","",,18,6,8.4,117.391240352844,840
tt0046268,Vite vendute,Le salaire de la peur,1953,1953-04-22,"Adventure, Drama, Thriller",131,"France, Italy","French, English, Spanish, German, Italian, Russian",Henri-Georges Clouzot,"Georges Arnaud, Henri-Georges Clouzot",Compagnie Industrielle et Commerciale Cinématographique (CICC),"Yves Montand, Charles Vanel, Folco Lulli, Peter van Eyck, Véra Clouzot, William Tubbs, Darío Moreno, Jo Dest, Antonio Centa, Luis De Lima, Grégoire Gromoff, Joseph Palau-Fabre, Faustini, Seguna, Darling Légitimus","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",8.1,52952,"","",$ 1098,85,169,138,8.1,114.711909187787,810
tt0051978,Il nudo e il morto,The Naked and the Dead,1958,1958-10-28,"Drama, War",131,USA,English,Raoul Walsh,"Denis Sanders, Terry Sanders",Paul Gregory Productions,"Aldo Ray, Cliff Robertson, Raymond Massey, Lili St. Cyr, Barbara Nichols, William Campbell, Richard Jaeckel, James Best, Joey Bishop, Jerry Paris, Robert Gist, L.Q. Jones, Max Showalter, John Beradino, Edward McNally","Set during the Pacific War against the Japanese, this WW2 drama discerns between achieving one's mission at any cost versus preserving the lives under one's command and enforcing discipline through fear as opposed to mutual respect.",6.4,1216,$ 3000000,"","",,19,11,6.4,90.7636022651216,640
tt0053690,Can-Can,Can-Can,1960,1960-03-27,"Comedy, Musical",131,USA,"English, French",Walter Lang,"Dorothy Kingsley, Charles Lederer",Suffolk-Cummings Productions,"Frank Sinatra, Shirley MacLaine, Maurice Chevalier, Louis Jourdan, Juliet Prowse, Marcel Dalio, Leon Belasco, Nestor Paiva, John A. Neris, Jean Del Val, Ann Codee","Montmartre, 1896: the Can-Can, the dance in which the women lift their skirts, is forbidden. Nevertheless Simone has it performed every day in her nightclub. Her employees use their female ...",6.3,1954,$ 6000000,"","",,29,14,6.3,85.0749961302102,630
tt0053901,All'inferno per l'eternità,Hell to Eternity,1960,1960-08-01,"Biography, Drama, War",131,USA,"English, Japanese",Phil Karlson,"Ted Sherdeman, Walter Roeber Schmidt",Atlantic Pictures,"Jeffrey Hunter, David Janssen, Vic Damone, Patricia Owens, Richard Eyer, John Larch, Bill Williams, Michi Kobi, George Shibata, Reiko Sato, Richard Gardner, Bob Okazaki, George Matsui, Nicky Blair, George Takei","When his adoptive Japanese-American family is sent to Manzanar after Pearl Harbor, a young Chicano enlists in the marines to become a hero in the Battle of Saipan.",7,1044,$ 800000,"","",,37,9,7,95.5928474567457,700
tt0054407,Il buco,Le trou,1960,1960-04-01,"Crime, Drama, Thriller",131,"France, Italy",French,Jacques Becker,"José Giovanni, Jacques Becker",Filmsonor,"Michel Constantin, Jean Keraudy, Philippe Leroy, Raymond Meunier, Marc Michel, Jean-Paul Coquelin, André Bervil, Eddy Rasimi",In prison four long-sentence inmates planning an elaborate escape cautiously induct a new inmate to join in their scheme which leads to distrust and uncertainty.,8.5,14787,"",$ 34588,$ 34588,,57,54,8.5,116.983110530616,850
