imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000
tt0008395,Otets Sergiy,Otets Sergiy,1918,1919,"Biography, Drama, History",112,Russia,"","Yakov Protazanov, Alexandre Volkoff","Leo Tolstoy, Alexandre Volkoff",Yermoliev,"Ivan Mozzhukhin, Olga Kondorova, V. Dzheneyeva, Vladimir Gajdarov, Nikolai Panov, Nathalie Lissenko, Iona Talanov, Vera Orlova, Pyotr Baksheyev, Polycarpe Pavloff, Nicolas Rimsky","Prince Kasatsky is a just and proud youth, shock and disappointment with the world bring him to church, he becomes father Sergius. It is a story of his piety and temptation.",7.1,458,"","","",,6,3,7.1,97.9181913564295,710
tt0010821,Un affare misterioso,Unheimliche Geschichten,1919,1919-11-05,"Fantasy, Horror, Mystery",112,Germany,"",Richard Oswald,"Anselma Heine, Robert Liebmann",Richard-Oswald-Produktion,"Anita Berber, Conrad Veidt, Reinhold Schünzel, Hugo Döblin, Paul Morgan, Georg John","A demon, a reaper, and the ghost of a prostitute read gothic short stories and act them out.",6.5,447,"","","",,7,10,6.5,88.8848206169699,650
tt0012397,Little Lord Fauntleroy,Little Lord Fauntleroy,1921,1921-09-15,Drama,112,USA,English,"Alfred E. Green, Jack Pickford","Frances Hodgson Burnett, Bernard McConville",Mary Pickford Company,"Mary Pickford, Claude Gillingwater, Joseph J. Dowling, James A. Marcus, Kate Price, Fred Malatesta, Rose Dione, Arthur Thalasso, Colin Kenny, Emmett King, Madame De Bodamere, Jackie Condon, Gordon Griffith, Francis Marion",An American boy turns out to be the long-lost heir of a British fortune. He is sent to live with the cold and unsentimental lord who oversees the trust.,6.7,276,"",$ 900000,$ 1108882,,7,4,6.7,91.3472476819301,670
tt0012928,Beauty's Worth,Beauty's Worth,1922,1922-05-14,"Drama, Romance",112,USA,English,Robert G. Vignola,"Sophie Kerr, Luther Reed",Cosmopolitan Productions,"Marion Davies, Forrest Stanley, June Elvidge, Truly Shattuck, Lydia Yeamans Titus, Hallam Cooley, Antrim Short, Thomas Jefferson, Martha Mattox, Aileen Manning, Gordon Dooley, Johnny Dooley","Prudence Cole is an unsophisticated Quaker girl being raised by her two aunts. Prudence is flirted with by snobbish Henry Garrison, who actually disdains the girl for her lack of ...",6.1,766,"","","",,5,2,6.1,84.1807654787053,610
tt0016884,La carne e il diavolo,Flesh and the Devil,1926,1926-12-25,"Drama, Romance",112,USA,"",Clarence Brown,"Benjamin Glazer, Hermann Sudermann",Metro-Goldwyn-Mayer (MGM),"John Gilbert, Greta Garbo, Lars Hanson, Barbara Kent, William Orlamond, George Fawcett, Eugenie Besserer, Marc McDermott, Marcelle Corday",Childhood friends are torn apart when one of them marries the woman the other once fiercely loved.,7.6,3901,$ 373000,"","",,39,28,7.6,103.099888094092,760
tt0021818,L'opera da tre soldi,Die 3 Groschen-Oper,1931,1956-10-19,"Comedy, Drama, Musical",112,Germany,German,Georg Wilhelm Pabst,"Bertolt Brecht, Léo Lania",Tobis Filmkunst,"Rudolf Forster, Carola Neher, Reinhold Schünzel, Fritz Rasp, Valeska Gert, Lotte Lenya, Hermann Thimig, Ernst Busch, Vladimir Sokoloff, Paul Kemp, Gustav Püttjer, Oskar Höcker, Krafft-Raschig, Herbert Grünbaum","In London at the turn of the century, the bandit Mack the Knife marries Polly without the knowledge of her father, Peachum, the 'king of the beggars'.",7.3,1939,"","","",,27,32,7.3,105.163913474251,730
tt0022958,Grand Hotel,Grand Hotel,1932,1933-01-19,"Drama, Romance",112,USA,"English, Russian",Edmund Goulding,"Vicki Baum, William Absalom Drake",Metro-Goldwyn-Mayer (MGM),"Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery, Lionel Barrymore, Lewis Stone, Jean Hersholt, Robert McWade, Purnell Pratt, Ferdinand Gottschalk, Rafaela Ottiano, Morgan Wallace, Tully Marshall, Frank Conroy, Murray Kinnell",A group of very different individuals staying at a luxurious hotel in Berlin deal with each of their respective dramas.,7.4,16927,$ 700000,"","",,130,88,7.4,101.218961715086,740
tt0023876,Cavalcata,Cavalcade,1933,1933-04-15,"Drama, Romance, War",112,USA,English,Frank Lloyd,Reginald Berkeley,Fox Film Corporation,"Diana Wynyard, Clive Brook, Una O'Connor, Herbert Mundin, Beryl Mercer, Irene Browne, Tempe Pigott, Merle Tottenham, Frank Lawton, Ursula Jeans, Margaret Lindsay, John Warburton, Billy Bevan, Desmond Roberts, Dickie Henderson","A portrayal of the triumphs and tragedies of two English families, the upper-crust Marryots and the working-class Bridgeses, from 1899 to 1933.",5.8,4442,$ 1180280,"","",,51,47,5.8,77.6195574369427,580
tt0026667,Al di là delle tenebre,Magnificent Obsession,1935,1935-12-30,"Drama, Romance",112,USA,"English, French, German",John M. Stahl,"Sarah Y. Mason, Victor Heerman",Universal Pictures,"Irene Dunne, Robert Taylor, Charles Butterworth, Betty Furness, Sara Haden, Ralph Morgan, Henry Armetta, Gilbert Emery, Arthur Treacher, Beryl Mercer, Alyce Ardell, Theodore von Eltz, Sidney Bracey, Arthur Hoyt, Cora Sue Collins","The life of spoiled rich Robert Merrick is saved through the use of a hospital's only resuscitator, but because the medical device cannot be in two places at once, it results in the death ...",6.9,750,"","","",,21,13,6.9,101.454535890764,690
tt0027260,Dopo l'uomo ombra,After the Thin Man,1936,1936-12-25,"Comedy, Crime, Mystery",112,USA,English,W.S. Van Dyke,"Frances Goodrich, Albert Hackett",Metro-Goldwyn-Mayer (MGM),"William Powell, Myrna Loy, James Stewart, Elissa Landi, Joseph Calleia, Jessie Ralph, Alan Marshal, Teddy Hart, Sam Levene, Penny Singleton, William Law, George Zucco, Paul Fix, Asta, Mrs. Asta",Nick investigates the case of a missing man and later a murder that is connected to Nora's family.,7.7,9231,$ 683000,"","",,77,46,7.7,108.546074453095,770
