imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000
tt0011439,Il segno di Zorro,The Mark of Zorro,1920,1922-06-23,"Adventure, Romance, Western",79,USA,"",Fred Niblo,Johnston McCulley,Douglas Fairbanks Pictures,"Marguerite De La Motte, Robert McKim, Noah Beery, Charles Hill Mailes, Claire McDowell, Snitz Edwards, Sidney De Gray, George Periolat, Walt Whitman, Tote Du Crow, Douglas Fairbanks","A seemingly idiotic fop is really the courageous vigilante Zorro, who seeks to protect the oppressed.",7.1,2145,"","","",,37,23,7.1,101.616720823802,710
tt0011870,Within Our Gates,Within Our Gates,1920,1920-01-12,"Drama, Romance",79,USA,"",Oscar Micheaux,Oscar Micheaux,Micheaux Book & Film Company,"Evelyn Preer, Flo Clements, James D. Ruffin, Jack Chenault, William Smith, Charles D. Lucas, Bernice Ladd, Mrs. Evelyn, William Starks, Mattie Edwards, Ralph Johnson, E.G. Tatum, Grant Edwards, Grant Gorman, Leigh Whipper","Abandoned by her fiancé, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.",6.3,2465,"","","",,21,13,6.3,86.6282806295669,630
tt0011960,Lo scoiattolo,Die Bergkatze,1921,1921-08-05,"Comedy, Drama, Romance",79,Germany,"",Ernst Lubitsch,"Hanns Kräly, Ernst Lubitsch",Projektions-AG Union (PAGU),"Pola Negri, Victor Janson, Paul Heidemann, Wilhelm Diegelmann, Hermann Thimig, Edith Meller, Marga Köhler, Paul Graetz, Max Gronert, Erwin Kopp, Paul Biensfeldt","A charismatic lieutenant newly assigned to a remote fort is captured by a group of mountain bandits, thus setting in motion a madcap farce that is Lubitsch at his most unrestrained.",7,1025,"","","",,12,15,7,96.5959786795,700
tt0013469,Othello,Othello,1922,1922-09-17,"Drama, Romance",79,Germany,German,Dimitri Buchowetzki,"Dimitri Buchowetzki, Karl Mueller-Hagens",Wörner-Filmgesellschaft,"Emil Jannings, Werner Krauss, Ica von Lenkeffy, Theodor Loos, Ferdinand von Alten, Friedrich Kühne, Magnus Stifter, Lya De Putti, Ludwig Rex",Based on Shakespeare's play: The treacherous Iago plans to ruin the life of Othello by provoking him to jealousy.,6.4,233,"","","",,10,5,6.4,88.095185613485,640
tt0018927,Eden palace,The Garden of Eden,1928,1928-02-04,"Comedy, Drama",79,USA,English,Lewis Milestone,"Hanns Kräly, Avery Hopwood",Feature Productions,"Corinne Griffith, Louise Dresser, Lowell Sherman, Maude George, Charles Ray, Edward Martindel","Toni Le Brun, a beautiful Viennese singer, becomes the ward of the wardrobe mistress of a Monte Carlo nightclub. Her benefactor, however, is actually a baroness incognito. Toni falls in ...",6.8,341,"","","",,10,11,6.8,100.234561246837,680
tt0020673,Beau Ideal,Beau Ideal,1931,1931-01-25,"Adventure, Romance, War",79,USA,English,Herbert Brenon,"Percival Christopher Wren, Elizabeth Meehan",RKO Radio Pictures,"Frank McCormick, Ralph Forbes, Lester Vail, Otto Matieson, Don Alvarado, Bernard Siegel, Irene Rich, Myrtle Stedman, Loretta Young, John St. Polis, Joe De Stefani, Paul McAllister, Hale Hamilton, George Regas, Leni Stengel",An American joins the French Foreign Legion in order to rescue a boyhood friend.,5.4,175,"","","",,9,1,5.4,78.9029427309055,540
tt0020838,Il guerriero,Doughboys,1930,1930-08-30,"Comedy, Romance, War",79,USA,"English, German, French",Edward Sedgwick,"Al Boasberg, Sidney Lazarus",Metro-Goldwyn-Mayer (MGM),"Buster Keaton, Sally Eilers, Cliff Edwards, Edward Brophy, Victor Potel, Arnold Korff, Frank Mayo, Pitzy Katz, William Steele, Ann Dvorak, Ann Sothern",A naive and wealthy young man seeks to impress a girl and then unwittingly signs up for army service.,5.8,392,"","","",,13,6,5.8,83.625067480367,580
tt0020891,Ragazze e giovanotti del 1890,The Florodora Girl,1930,1930-05-31,"Drama, Musical, Romance",79,USA,English,Harry Beaumont,"Gene Markey, Gene Markey",Cosmopolitan Productions,"Marion Davies, Lawrence Gray, Walter Catlett, Louis John Bartels, Ilka Chase, Vivien Oakland, Jed Prouty, Claud Allister, Sam Hardy, Nance O'Neil, Robert Bolder, Jane Keithley, Maude Turner Gordon, George Chandler, Anita Louise",The married friends of a New York chorus girl encourage her to pursue a handsome but poor socialite.,6.1,1249,"","","",,9,9,6.1,85.0888346465567,610
tt0021060,La moglie bella,Let Us Be Gay,1930,1930-08-09,"Comedy, Drama",79,USA,English,Robert Z. Leonard,"Rachel Crothers, Lucille Newmark",Metro-Goldwyn-Mayer (MGM),"Norma Shearer, Rod La Rocque, Marie Dressler, Gilbert Emery, Hedda Hopper, Raymond Hackett, Sally Eilers, Tyrell Davis, Wilfred Noy, William H. O'Brien, Sybil Grove",Dowdy housewife Kitty dotes on her self-centered husband but divorces him when his mistress shows up at their home one day to break up their marriage. Bob had become bored with her ...,6.4,416,"","","",,16,5,6.4,92.0580672632784,640
tt0021069,The Life of the Party,The Life of the Party,1930,1930-10-25,"Comedy, Musical, Romance",79,USA,English,Roy Del Ruth,"Darryl F. Zanuck, Arthur Caesar",Warner Bros.,"Winnie Lightner, Irene Delroy, Jack Whiting, Charles Butterworth, Charles Judels, John Davidson, Arthur Hoyt","Two attractive female song-pluggers decide to become gold-diggers, with comic results.",5.6,128,"","","",,7,3,5.6,80.7769274464235,560
