imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000
tt0032184,Adventures of Red Ryder,Adventures of Red Ryder,1940,1940-06-28,"Action, Adventure, Drama",205,USA,English,"John English, William Witney","Fred Harman, Franklin Adreon",Republic Pictures (I),"Don 'Red' Barry, Noah Beery, Tommy Cook, Maude Allen, Vivian Austin, Harry Worth, Hal Taliaferro, William Farnum, Bob Kortman, Carleton Young, Ray Teal, Gene Alsace, Gayne Whitman, Hooper Atchley, John Dilson",Mesquite banker Calvin Drake plans to profit from the Santa Fe Railroad's acquisition of right-of-way by gaining control of the land in the territory. In the ensuing war of intimidation ...,7.2,113,"","","",,4,2,7.2,99.4517821490841,720
tt0055805,Boccaccio '70,Boccaccio '70,1962,1962-02-23,"Comedy, Fantasy, Romance",205,"Italy, France","Italian, German","Vittorio De Sica, Federico Fellini","Giovanni Arpino, Suso Cecchi D'Amico",Cineriz,"Marisa Solinas, Germano Gilioli, Anita Ekberg, Peppino De Filippo, Romy Schneider, Tomas Milian, Romolo Valli, Sophia Loren, Luigi Giuliani, Alfio Vita","Inspired by Boccaccio's novellas, each episode focuses on sex, love and seduction in Italy's 1960s, an era of economic growth and major cultural changes.",7.1,3764,"","",$ 10641,,25,39,7.1,101.241783887197,710
tt0060107,Andrej Rublev,Andrey Rublev,1966,1975-10-28,"Biography, Drama, History",205,Soviet Union,"Russian, Italian, Tatar",Andrei Tarkovsky,"Andrey Konchalovskiy, Andrei Tarkovsky",Mosfilm,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev, Irina Tarkovskaya, Nikolay Burlyaev, Yuriy Nazarov, Yuriy Nikulin, Rolan Bykov, Nikolay Grabbe, Mikhail Kononov, Stepan Krylov, Bolot Beyshenaliev, B. Matysik, Anatoliy Obukhov","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",8.1,44814,RUR 1000000,$ 124189,$ 145491,,158,112,8.1,113.291575656093,810
tt0078876,"Ion: Blestemul pamîntului, blestemul iubirii","Ion: Blestemul pamîntului, blestemul iubirii",1980,1980-09-14,"Drama, History",205,Romania,Romanian,Mircea Muresan,"Titus Popovici, Liviu Rebreanu","","Serban Ionescu, Ioana Craciunescu, Petrica Gheorghiu, Valentin Teodosiu, Ion Besoiu, Leopoldina Balanuta, Octavian Cotescu, Tamara Buciuceanu-Botez, Catrinel Dumitrescu, Romeo Pop, Rodica Negrea, Sorina Stanculescu, Valeria Seciu, Costel Constantin, Petre Lupu","Set in the 1910's Transylvanian countryside, a poor but industrious peasant must choose between his obsessive lust for riches and his desire for true love.",8,494,"","","",,3,,8,110.457068174609,800
tt1365490,Noi credevamo,Noi credevamo,2010,2010-11-12,History,205,"Italy, France","Italian, French, English, Neapolitan, Sicilian, Polish",Mario Martone,"Anna Banti, Giancarlo De Cataldo",Palomar,"Raffaele Di Florio, Francesca Inaudi, Andrea Bosca, Edoardo Natoli, Luigi Pisani, Guido Caprino, Fulvia Carotenuto, Renato Carpentieri, Alberto Coppola, Michele Riondino, Peppino Mazzotta, Nicola Pascale, Franco Ravera, Stefano Cassetti, Paolo Pierobon","The stories of three young men who, in the wake of the ferocious repression by the Bourbon reign in 1828, decide to join Giuseppe Mazzini's Young Italy movement.",6.5,500,EUR 7000000,"",$ 2124145,,,15,6.5,88.602335471722,650
