imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000
tt0014108,Il vecchio castello,Gunnar Hedes saga,1923,1923-01-01,Drama,101,Sweden,"",Mauritz Stiller,"Selma Lagerlöf, Mauritz Stiller",Svenska Biografteatern AB,"Gustav Aronson, Stina Berg, Hugo Björne, Pauline Brunius, Julia Cederblad, Einar Hanson, Gösta Hillberg, Mary Johnson, Adolf Olschansky, Lotten Olsson, Concordia Selander, Ingeborg Strandin, Thecla Åhlander","Gunnar Hede, a young Swedish man, wants to become a professional musician, but when his father suddenly dies he is pressured by his family to take over the family business, raising and ...",6.9,144,"","","",,5,5,6.9,98.640643424118,690
tt0016634,Beau Geste,Beau Geste,1926,1926-08-25,"Action, Adventure, Drama",101,USA,English,Herbert Brenon,"Herbert Brenon, John Russell",Paramount Pictures,"Ronald Colman, Neil Hamilton, Ralph Forbes, Alice Joyce, Mary Brian, Noah Beery, Norman Trevor, William Powell, George Regas, Bernard Siegel, Victor McLaglen, Donald Stuart, Paul McAllister, Redmond Finlay, Bhogwan Singh","Michael """"Beau"""" Geste leaves England in disgrace and joins the infamous French Foreign Legion. He is reunited with his two brothers in North Africa, where they face greater danger from their...",7,338,"",$ 1708926,"",,11,3,7,94.1162785128613,700
tt0019936,Gold Diggers of Broadway,Gold Diggers of Broadway,1929,1929-08-30,"Comedy, Musical",101,USA,English,Roy Del Ruth,"Avery Hopwood, Robert Lord",Warner Bros.,"Nancy Welford, Conway Tearle, Winnie Lightner, Ann Pennington, Lilyan Tashman, William Bakewell, Nick Lucas, Helen Foster, Albert Gran, Julia Swayne Gordon, Lee Moran, Armand Kaliz, Louise Beavers, Neely Edwards, Gertrude Short",Three Broadway chorus girls seek rich husbands.,6.7,143,"",$ 5537200,$ 8648060,,9,2,6.7,96.0343391373144,670
tt0020298,La regina Kelly,Queen Kelly,1932,1932-10-18,Drama,101,USA,"","Erich von Stroheim, Richard Boleslawski","Erich von Stroheim, Marian Ainslee",Gloria Swanson Pictures,"Gloria Swanson, Walter Byron, Seena Owen",A convent girl is abducted and seduced by a prince before being sent off to a brothel in East Africa.,7.1,3049,$ 800000,"","",,22,19,7.1,102.938528128871,710
tt0020510,Tôkyô kôshinkyoku,Tôkyô kôshinkyoku,1929,1929-05-31,Drama,101,Japan,"",Kenji Mizoguchi,"Shuichi Hatamoto, Kan Kikuchi",Gendai Eigasha,"Shizue Natsukawa, Takako Irie, Isamu Kosugi, Kôji Shima, Eiji Takagi, Hisako Takihana, Taeko Sakuma, Shunji Kanda, Reiji Ichiki, Shôzô Nanbu, Gunnosuke Kanahira, Takaya Ito, Bontarô Miake, Suesaburo Sasai","A classic melodramatic love tragedy addressing social inequality in feudal Japan, depicted in Kenji Mizoguchi's typical style. The nostalgic scenes of 1920s Tokyo provides a valuable visual...",6.6,261,"","","",,4,2,6.6,86.9906000655981,660
tt0021890,The Front Page,The Front Page,1931,1931-04-04,"Comedy, Crime, Drama",101,USA,English,Lewis Milestone,"Ben Hecht, Charles MacArthur",The Caddo Company,"Adolphe Menjou, Pat O'Brien, Mary Brian, Edward Everett Horton, Walter Catlett, George E. Stone, Mae Clarke, Slim Summerville, Matt Moore, Frank McHugh, Clarence Wilson, Fred Howard, Phil Tead, Eugene Strong, Spencer Charters",An investigative reporter sees an opportunity for the story of a lifetime when an accused murderer escapes hanging.,6.7,2348,"",$ 1526000,"",76,39,35,6.7,99.5465072098681,670
tt0024952,Carovane,Caravan,1934,1934-02-03,Musical,101,USA,English,Erik Charell,"Melchior Lengyel, Robert Liebmann",Fox Film Corporation,"Charles Boyer, Loretta Young, Jean Parker, Phillips Holmes, Louise Fazenda, Eugene Pallette, C. Aubrey Smith, Charley Grapewin, Noah Beery, Dudley Digges, Billy Bevan, Lionel Belmore, Richard Carle, Adrienne D'Ambricourt",Member of royal family is forced to marry a vagabond.,6.2,102,"","","",,3,5,6.2,88.0457594392936,620
tt0025442,La signora Bovary,Madame Bovary,1934,1934-11-17,Drama,101,France,French,Jean Renoir,"Gustave Flaubert, Jean Renoir",Nouvelle Société des Films (NSF),"Max Dearly, Valentine Tessier, Pierre Renoir, Robert Le Vigan, Alice Tissot, Pierre Larquey, Monette Dinay, Louis Florencie, Romain Bouquet, Christiane Dor, Georges Cahuzac, Héléna Manson, Léon Larive, Henri Vilbert, Allain Dhurtal","Soon after the death of his first wife (whose dowry was inadequate), Charles Bovary, a country doctor in Normandy, marries Emma Rouault, who is well-endowed in every sense. In her new home,...",6.6,341,"","","",,5,3,6.6,93.0718631935257,660
tt0026144,Follie di Broadway 1936,Broadway Melody of 1936,1935,1935-09-20,"Musical, Romance",101,USA,"English, French, Spanish","Roy Del Ruth, W.S. Van Dyke","Jack McGowan, Sid Silvers",Metro-Goldwyn-Mayer (MGM),"Jack Benny, Eleanor Powell, Robert Taylor, Una Merkel, Sid Silvers, Buddy Ebsen, June Knight, Vilma Ebsen, Nick Long Jr., Robert Wildhack, Paul Harvey, Frances Langford, Harry Stockwell","Bob Gordon is staging a new Broadway Show. He gets an offer of money by Lillian, if she can dance in his show. Gordon's old class mate Irene, tries to get the leading role in this show, but Lillian insists in getting this part herself.",6.8,1521,"","","",,30,14,6.8,96.5460889164497,680
tt0026983,La donna eterna,She,1935,1935-07-12,"Adventure, Fantasy, Romance",101,USA,English,"Lansing C. Holden, Irving Pichel","Ruth Rose, Dudley Nichols",Merican C. Cooper Productions,"Helen Gahagan, Randolph Scott, Helen Mack, Nigel Bruce","Leo Vincey, told by his dying uncle of a lost land visited 500 years ago by his ancestor, heads out with family friend Horace Holly to try to discover the land and its secret of immortality...",6.5,1446,"","","",,42,28,6.5,89.5240693468094,650
