imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000
tt0004635,The Squaw Man,The Squaw Man,1914,1914-02-15,"Action, Drama, Romance",74,USA,English,"Oscar Apfel, Cecil B. DeMille","Edwin Milton Royle, Cecil B. DeMille",Jesse L. Lasky Feature Play Company,"Dustin Farnum, Monroe Salisbury, Winifred Kingston, Mrs. A.W. Filson, Haidee Fuller, Red Wing, Foster Knox, Fred Montague, 'Baby' Carmen De Rue, Fernando Gálvez, Eugene De Rue, H.R. Macy, H.L. Swisher, Michael J. Kilpatrick, Sydney Deane",A chivalrous British officer takes the blame for his cousin's embezzlement and journeys to the American West to start a new life on a cattle ranch.,5.7,879,$ 20000,"","",,8,3,5.7,77.7354443780745,570
tt0005402,The Golden Chance,The Golden Chance,1915,1915-12-30,Drama,74,USA,English,Cecil B. DeMille,"Cecil B. DeMille, Jeanie Macpherson",Jesse L. Lasky Feature Play Company,"Cleo Ridgely, Wallace Reid, Horace B. Carpenter, Ernest Joy, Edythe Chapman, Raymond Hatton, William Elmer, Mrs. Lewis McCord",Mary Denby becomes a seamstress after her husband Steve wastes their money on booze. Her employer provides her as an escort to accompany millionaire Roger Manning. Her husband tries ...,6.4,187,$ 18711,"","",,10,1,6.4,87.9716595990825,640
tt0012513,The Nut,The Nut,1921,1921-03-06,"Action, Comedy, Romance",74,USA,English,Theodore Reed,"Kenneth Davenport, Douglas Fairbanks",Douglas Fairbanks Pictures,"Douglas Fairbanks, Marguerite De La Motte, William Lowery, Gerald Pring, Morris Hughes, Barbara La Marr, Sidney De Gray",Eccentric inventor Charlie Jackson tries to interest wealthy investors in his girlfriend's plan to help children from poor neighborhoods.,6.5,209,"","","",,9,2,6.5,91.4657206944208,650
tt0013134,Flesh and Blood,Flesh and Blood,1922,1922-08-27,Drama,74,USA,"",Irving Cummings,"Louis D. Lighton, Louis D. Lighton",Irving Cummings Productions,"Lon Chaney, Edith Roberts, Noah Beery, DeWitt Jennings, Ralph Lewis, Jack Mulhall, Tôgô Yamamoto, Kate Price, Wilfred Lucas",A convict hiding in Chinatown assumes the identity of a cripple to track down a businessman who framed him 15 years previously. He discovers that his daughter has fallen in love with the businessman's son.,6.2,151,"","","",,10,,6.2,89.1895259579429,620
tt0013367,The Man from Beyond,The Man from Beyond,1922,1922-04-02,Mystery,74,USA,English,Burton L. King,"Harry Houdini, Coolidge Streeter",Houdini Picture Corporation,"Harry Houdini, Arthur Maude, Albert Tavernier, Erwin Connelly, Frank Montgomery, Luis Alberni, Yale Benner, Jane Connelly, Nita Naldi",A man who has been frozen in the Arctic ice for 100 years returns to civilization to find his lost love.,5.4,226,"","","",,12,9,5.4,78.6540191142122,540
tt0014429,Preferisco l'ascensore,Safety Last!,1923,1924-12-08,"Action, Comedy, Thriller",74,USA,English,"Fred C. Newmeyer, Sam Taylor","Hal Roach, Sam Taylor",Hal Roach Studios,"Harold Lloyd, Mildred Davis, Bill Strother, Noah Young, Westcott Clarke",A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.,8.1,17795,$ 121000,"","",,91,93,8.1,112.168106781295,810
tt0014516,Die Straße,Die Straße,1923,1923-11-29,Drama,74,Germany,German,Karl Grune,"Karl Grune, Carl Mayer",Stern-Film,"Anton Edthofer, Aud Egede-Nissen, Leonhard Haskel, Lucie Höflich, Eugen Klöpfer, Max Schreck",Presents two distinct plot lines until the two eventually merge: the first is that of the bored middle-aged man seeking a departure from monotony in his life; the second is that of the ...,7,347,"","","",,4,2,7,100.458036816425,700
tt0015518,Yolanda,Yolanda,1924,1924-09-15,Romance,74,USA,English,Robert G. Vignola,"Charles Major, Luther Reed",Cosmopolitan Productions,"Marion Davies, Lyn Harding, Holbrook Blinn, Macklyn Arbuckle, Johnny Dooley, Arthur Donaldson, Ralph Graves, Ian Maclaren, Gustav von Seyffertitz, Theresa Maxwell Conover, Martin Faust, Thomas Findley, Paul McAllister, Leon Errol, Mary Kennedy","Princess Mary of Burgundy, traveling in disguise using the name of Yolanda, attends a silk fair and falls in love with Maximilian, who has disguised himself as a knight. Later Maximilian is...",5.8,121,"","","",,1,1,5.8,80.0122042568887,580
tt0015687,Clash of the Wolves,Clash of the Wolves,1925,1925-11-28,"Adventure, Romance, Western",74,USA,English,Noel M. Smith,Charles Logue,Warner Bros.,"Rin Tin Tin, Nanette, Charles Farrell, June Marlowe, Heinie Conklin, Will Walling, Pat Hartigan",A fire in the mountains drive a wolf pack into a nearby desert where they will terrorize the local residents.,6.6,243,"","","",,6,4,6.6,93.5376155081032,660
tt0016185,Orochi,Orochi,1925,1925-11-20,"Action, Adventure",74,Japan,"",Buntarô Futagawa,Rokuhei Susukita,Bando Tsumasaburo Production,"Tsumasaburô Bandô, Misao Seki, Utako Tamaki, Kensaku Haruji, Momotarô Yamamura, Kotonosuke Nakamura, Shigeyo Arashi, Kichimatsu Nakamura, Zen'ichirô Yasuda, Shizuko Mori",The story of a decent samurai who is widely considered a scum and a criminal. His bad luck and numerous misunderstandings drag him down the social ladder straight to the gutter.,7.1,310,"","","",,5,7,7.1,100.384383833496,710
tt0016241,Pretty Ladies,Pretty Ladies,1925,1925-09-06,"Comedy, Drama",74,USA,English,Monta Bell,"Adela Rogers St. Johns, Alice D.G. Miller",Metro-Goldwyn Pictures Corporation,"Zasu Pitts, Tom Moore, Ann Pennington, Lilyan Tashman, Bernard Randall, Helena D'Algy, Conrad Nagel, Norma Shearer, George K. Arthur, Joan Crawford, Paul Ellis, Roy D'Arcy, Gwen Lee, Dorothy Seastrom, Lew Harvey","Maggie, a headlining comedienne with the Follies, takes a fall off the stage into the orchestra pit and lands on the drum of musician Al Cassidy. One thing leads to another, they fall in ...",3.7,132,"","","",,2,1,3.7,49.0131618439289,370
tt0017448,Tartufo,Herr Tartüff,1925,1927,Drama,74,Germany,German,F.W. Murnau,"Molière, Carl Mayer",Universum Film (UFA),"Hermann Picha, Rosa Valetti, André Mattoni, Werner Krauss, Lil Dagover, Lucie Höflich, Emil Jannings, Camilla Horn","A young man shows his millionaire grandfather a film based on Molière's Tartuffe, in order to expose the old man's hypocritical governess who covets his own inheritance.",7.1,1945,"","","",,16,30,7.1,96.1342329526707,710
tt0018311,The Red Mill,The Red Mill,1927,1927-01-29,"Comedy, Romance",74,USA,English,Roscoe 'Fatty' Arbuckle,"Frances Marion, Frances Marion",Cosmopolitan Productions,"Marion Davies, Owen Moore, Louise Fazenda, George Siegmann, Karl Dane, Russ Powell, Snitz Edwards, William Orlamond, Ignatz, Jack Hampton, William White",A tavern worker and the daughter of a burgomaster enter into elaborate masquerades in order to win the hearts of the men they love.,6.6,1342,$ 539000,"","",,18,3,6.6,86.413855976477,660
tt0020103,La porta chiusa,The Locked Door,1929,1929-11-16,"Drama, Mystery, Thriller",74,USA,English,George Fitzmaurice,"Channing Pollock, C. Gardner Sullivan",George Fitzmaurice Productions,"Rod La Rocque, Barbara Stanwyck, William 'Stage' Boyd, Betty Bronson, Harry Stubbs, Harry Mestayer, Mack Swain, Zasu Pitts, George Bunny","On her first anniversary Ann Reagan finds that her sister-in-law is involved with a shady character from her own past, and determines to intervene.",6,429,"","","",,24,8,6,84.9283649184282,600
tt0020286,Prapancha Pash,Prapancha Pash,1929,2008,"Adventure, Drama, Romance",74,"UK, India, Germany",English,Franz Osten,"Niranjan Pal, W.A. Burton",British Instructional Films (BIF),"Seeta Devi, Himanshu Rai, Charu Roy, Modhu Bose, Sarada Gupta, Tincory Chakrabarty, Lala Bijoykishen","Two neighboring Indian kingdoms are ruled by cousins - King Ranjit and King Sohat. Unbeknownst to Ranjit, Sohat is plotting to seize control of his kingdom.",6.5,710,"","",$ 2306,,8,14,6.5,88.0544838567968,650
tt0020806,Nella morsa delle rotaie,Danger Lights,1930,1930-08-21,"Adventure, Drama",74,USA,English,George B. Seitz,James Ashmore Creelman,RKO Radio Pictures,"Louis Wolheim, Robert Armstrong, Jean Arthur, Hugh Herbert, Frank Sheridan, Robert Edeson, Alan Roscoe, William P. Burt, Jim Farley","The tough boss of a railroad yard befriends a young hobo, and unwittingly places in jeopardy his relationship with the woman he loves.",6.2,465,"","","",,25,6,6.2,87.3617386716332,620
tt0021304,Dall'ombra alla luce,Road to Paradise,1930,1930-07-20,Drama,74,USA,"English, French",William Beaudine,"Dodson Mitchell, F. Hugh Herbert",First National Pictures,"Loretta Young, Jack Mulhall, Raymond Hatton, George Barraud, Kathlyn Williams, Fred Kelsey, Purnell Pratt, Ben Hendricks Jr., Dot Farley, Winter Hall, Georgette Rhodes","A young girl falls in with a gang of criminals. One of their capers is robbing the house of a wealthy socialite who happens to look just like her. In the process of cleaning out the house, ...",5.7,157,"","","",,7,2,5.7,79.4475705131555,570
tt0021735,The Cheat,The Cheat,1931,1931-11-28,Drama,74,USA,English,"George Abbott, Berthold Viertel","Harry Hervey, Hector Turnbull",Paramount Pictures,"Tallulah Bankhead, Harvey Stephens, Irving Pichel, Jay Fassett, Ann Andrews, William Ingersoll, Hanaki Yoshiwara, Willard Dashiell, Edward Keane, Robert Strange",Woman in debt makes an impulsive investment which doesn't go her way.,6.4,442,"","","",,14,12,6.4,89.0496689082655,640
