imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,avg_vote_10,avg_vote_100,avg_vote_1000
tt0037465,Wilson,Wilson,1944,1945-08-01,"Biography, Drama, History",154,USA,English,Henry King,Lamar Trotti,Twentieth Century Fox,"Alexander Knox, Geraldine Fitzgerald, Thomas Mitchell, Ruth Nelson, Cedric Hardwicke, Charles Coburn, Vincent Price, William Eythe, Mary Anderson, Ruth Ford, Sidney Blackmer, Madeleine Forbes, Stanley Ridges, Eddie Foy Jr., Charles Halton",A chronicle of the political career of US President,6.4,1406,$ 4000000,"","",,44,17,6.4,89.0950353767573,640
tt0040416,Amleto,Hamlet,1948,1949-01-28,Drama,154,UK,English,Laurence Olivier,William Shakespeare,Two Cities Films,"John Laurie, Esmond Knight, Anthony Quayle, Niall MacGinnis, Harcourt Williams, Patrick Troughton, Tony Tarver, Peter Cushing, Stanley Holloway, Russell Thorndike, Basil Sydney, Eileen Herlie, Laurence Olivier, Norman Wooland, Felix Aylmer","Prince Hamlet struggles over whether or not he should kill his uncle, whom he suspects has murdered his father, the former king.",7.6,14941,GBP 500000,"","",82,89,49,7.6,107.04849539443,760
tt0047522,È nata una stella,A Star Is Born,1954,1955-02-25,"Drama, Musical, Romance",154,USA,English,George Cukor,"Moss Hart, Dorothy Parker",Transcona Enterprises,"Judy Garland, James Mason, Jack Carson, Charles Bickford, Tommy Noonan, Lucy Marlow, Amanda Blake, Irving Bacon, Hazel Shermet, James Brown","A film star helps a young singer and actress find fame, even as age and alcoholism send his own career on a downward spiral.",7.6,15391,$ 5019770,$ 4335968,$ 4348890,89,155,85,7.6,108.251818111872,760
tt0053629,Bombai Ka Babu,Bombai Ka Babu,1960,1960,"Drama, Musical, Romance",154,India,Hindi,Raj Khosla,"Rajinder Singh Bedi, G.R. Kamath",Naya Films,"Dev Anand, Suchitra Sen, Jeevan, Nasir Hussain, Achala Sachdev, Rashid Khan, Dhumal, Jagdish Raj, Manohar Deepak, Anwari, Aruna, Bela Bose, Lalita Kumari, Tun Tun","Babu and Malik are two inseparable friends who live in a small town in India. One day they decide to play a prank and steal something. They get caught, while Malik's dad come to bail out ...",7.1,143,"","","",,5,3,7.1,99.3479547948007,710
tt0056504,Sodoma e Gomorra,Sodom and Gomorrah,1962,1962-10-04,"Adventure, Drama, History",154,"Italy, France, USA","English, Spanish, Indonesian",Robert Aldrich,"Hugo Butler, Giorgio Prosperi",Titanus,"Stewart Granger, Pier Angeli, Stanley Baker, Rossana Podestà, Rik Battaglia, Giacomo Rossi Stuart, Scilla Gabel, Anthony Steffen, Enzo Fiermonte, Gabriele Tinti, Daniele Vargas, Claudia Mori, Feodor Chaliapin Jr., Mitsuko Takara, Massimo Pietrobon","Sex, torture and betrayal in Biblical Sodom and Gomorrah. Lot, leader of the Hebrews, believes his people can co-exist with the Sodomites, a disastrous decision.",5.7,1460,"","","",,43,22,5.7,76.4709588834822,570
tt0056800,55 giorni a Pechino,55 Days at Peking,1963,1963-10-03,"Action, Adventure, Drama",154,USA,English,"Nicholas Ray, Guy Green","Robert Hamer, Philip Yordan",Samuel Bronston Productions,"Charlton Heston, Ava Gardner, David Niven, Flora Robson, John Ireland, Harry Andrews, Leo Genn, Robert Helpmann, Kurt Kasznar, Philippe Leroy, Paul Lukas, Elizabeth Sellars, Massimo Serato, Jacques Sernas, Jerome Thor","During the 1900 Boxer Rebellion, U.S. marine, Maj. Matt Lewis, along with British consul, Sir Arthur Robertson, develop a plan to keep the rebels at bay until an international military relief force can arrive.",6.7,5889,$ 9000000,"","",,60,15,6.7,101.158726526557,670
tt0057940,Il grande sentiero,Cheyenne Autumn,1964,1964-11-27,"Drama, History, Western",154,USA,English,John Ford,"Mari Sandoz, James R. Webb",Ford-Smith Productions,"Richard Widmark, Carroll Baker, Karl Malden, Sal Mineo, Dolores del Rio, Ricardo Montalban, Gilbert Roland, Arthur Kennedy, James Stewart, Edward G. Robinson, Patrick Wayne, Elizabeth Allen, John Carradine, Victor Jory, Mike Mazurki","The Cheyenne, tired of broken U.S. government promises, head for their ancestral lands but a sympathetic cavalry officer is tasked to bring them back to their reservation.",6.8,5011,$ 4200000,"",$ 10980,,61,21,6.8,88.1335509236214,680
tt0058439,La selva degli impiccati,Padurea spânzuratilor,1965,1965-03-16,"Drama, Romance, War",154,Romania,Romanian,Liviu Ciulei,"Titus Popovici, Liviu Rebreanu",Romania Film,"Victor Rebengiuc, Liviu Ciulei, Stefan Ciubotarasu, György Kovács, Anna Széles, Gina Patrichi, András Csiky, Emmerich Schäffer, Costache Antoniu, Emil Botta, Laszlo Kiss, Nicolae Tomazoglu, Constantin Brezeanu, Ion Caramitru, George Aurelian",In 1916 as an officer in the Habsburg Army ethnic Romanian Apostol Bologa is torn between remaining loyal to the Habsburgs or deserting to the Romanian Army across enemy lines.,8.2,1073,ROL 10542000,"","",,4,3,8.2,115.549420408584,820
tt0059399,Lord Jim,Lord Jim,1965,1965-02-16,"Adventure, Drama, Romance",154,"UK, USA",English,Richard Brooks,"Joseph Conrad, Richard Brooks",Columbia British Productions,"Peter O'Toole, James Mason, Curd Jürgens, Eli Wallach, Jack Hawkins, Paul Lukas, Daliah Lavi, Akim Tamiroff, Jûzô Itami, Tatsuo Saitô, Andrew Keir, Jack MacGowran, Ric Young, Noel Purcell, Walter Gotell","After being discredited as a coward, a 19th century seaman (Peter O'Toole) lives for only one purpose: to redeem himself. Based on Joseph Conrad's novel written in 1900.",6.8,3440,"","","",,44,31,6.8,98.1567823065313,680
tt0069198,La classe dirigente,The Ruling Class,1972,1972-05-25,"Comedy, Drama, Musical",154,UK,"English, French, Italian, German, Latin",Peter Medak,"Peter Barnes, Peter Barnes",Keep Films,"Hugh Owens, Harry Andrews, Arthur Lowe, William Mervyn, Coral Browne, James Villiers, Alastair Sim, Hugh Burden, Peter O'Toole, Michael Bryant, Henry Woolf, Griffith Davies, Oliver MacGreevy, Kay Walsh, Patsy Byrne","A member of the House of Lords dies, leaving his estate to his son. Unfortunately, his son thinks he is Jesus Christ. The other, somewhat more respectable, members of their family plot to steal the estate from him. Murder and mayhem ensue.",7.4,5634,"","","",,66,44,7.4,102.932358787812,740
tt0079355,Jaani Dushman,Jaani Dushman,1979,1979-05-22,"Action, Horror, Mystery",154,India,Hindi,Rajkumar Kohli,"Inder Raj Anand, Hakim Riaz Latta",Shankar Films,"Sunil Dutt, Sanjeev Kumar, Shatrughan Sinha, Vinod Mehra, Vikram Makandar, Prem Nath, Rekha, Reena Roy, Neetu Singh, Bindiya Goswami, Sarika, Yogeeta Bali, Neeta Mehta, Aruna Irani, Shobhini Singh",A remote mountainous region is terrorized by a legendary monster that regularly abducts newlywed brides and kills them.,6.1,425,"","","",,7,5,6.1,81.2144424035324,610
tt0085599,Glykia symmoria,Glykia symmoria,1983,1983-10-19,"Crime, Drama, Thriller",154,Greece,Greek,Nikos Nikolaidis,Nikos Nikolaidis,Afoi Vergeti,"Despina Tomazani, Dora Masklavanou, Takis Moshos, Takis Spyridakis, Alkis Panagiotidis, Lenia Polycrati, Konstantinos Tzoumas, Dinos Makris, Andreas Tsafos, Haris Romas, Takis Loukatos, Alkmini Stavrou, Marianna Koutalou, Katerina Sigountou, Fay Tsanetopoulou","Holed up in a decrepit Athenian mansion, a quartet of handsome pariahs wait for something to happen in their lives. As the state tightens the noose on them, the shotguns have the final say. Is this the sad swan song of the sweet bunch?",7.4,1399,"","","",,3,1,7.4,105.418238056749,740
tt0088939,Il colore viola,The Color Purple,1985,1986-09-19,Drama,154,USA,English,Steven Spielberg,"Menno Meyjes, Alice Walker",Amblin Entertainment,"Danny Glover, Whoopi Goldberg, Margaret Avery, Oprah Winfrey, Willard E. Pugh, Akosua Busia, Desreta Jackson, Adolph Caesar, Rae Dawn Chong, Dana Ivey, Leonard Jackson, Bennet Guillory, John Patton Jr., Carl Anderson, Susan Beaubian",A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,7.8,76504,$ 15000000,$ 98467863,$ 98467863,78,237,82,7.8,111.077072780809,780
tt0101733,Dil Hai Ki Manta Nahin,Dil Hai Ki Manta Nahin,1991,1991-07-12,"Adventure, Comedy, Drama",154,India,Hindi,Mahesh Bhatt,"Robin Bhatt, Robin Bhatt",Super Cassettes Industries Limited (T-Series),"Aamir Khan, Pooja Bhatt, Anupam Kher, Sameer Chitre, Tiku Talsania, Rakesh Bedi, Virendra Saxena, Avtar Gill, Mushtaq Khan, Javed Khan, Shammi, Amrit Patel, Shubha Khote, Rajesh Puri, Deepak Tijori",Runaway heiress in search of her beloved falls in love with another man on the way.,7.4,3864,"","",$ 2640000,,12,,7.4,101.395242124838,740
tt0102636,Parinda,Parinda,1989,1989-11-03,"Action, Crime, Drama",154,India,Hindi,Vidhu Vinod Chopra,"Vidhu Vinod Chopra, Vidhu Vinod Chopra",Natraj Productions,"Jackie Shroff, Anil Kapoor, Nana Patekar, Madhuri Dixit, Anupam Kher, Suresh Oberoi, Tom Alter, Anang Desai, Kamal Chopra, Sameer, Hitesh, Mohan, Shweta, Jatin, Vilas Shinde","A man's friend, a police officer, is assassinated by gangsters in broad daylight. He discovers that his elder brother works in the same gang and decides to avenge his friend's death by infiltrating the gang.",7.9,2989,"","","",,26,4,7.9,105.508245367695,790
tt0103594,1492 - La conquista del paradiso,1492: Conquest of Paradise,1992,1992-10-16,"Adventure, Biography, Drama",154,"UK, France, Spain","Spanish, Latin, Arabic, English",Ridley Scott,Rose Bosch,Gaumont,"Gérard Depardieu, Armand Assante, Sigourney Weaver, Loren Dean, Ángela Molina, Fernando Rey, Michael Wincott, Tchéky Karyo, Kevin Dunn, Frank Langella, Mark Margolis, Kario Salem, Billy L. Sullivan, John Heffernan, Arnold Vosloo",Christopher Columbus' discovery of the Americas and the effect this has on the indigenous people.,6.5,27667,$ 47000000,$ 7191399,$ 7191399,47,96,32,6.5,91.5691526202904,650
tt0106918,Il socio,The Firm,1993,1993-10-22,"Drama, Mystery, Thriller",154,USA,English,Sydney Pollack,"John Grisham, David Rabe",Davis Entertainment,"Tom Cruise, Jeanne Tripplehorn, Gene Hackman, Hal Holbrook, Terry Kinney, Wilford Brimley, Ed Harris, Holly Hunter, David Strathairn, Gary Busey, Steven Hill, Tobin Bell, Barbara Garrick, Jerry Hardin, Paul Calderon",A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,6.8,116699,$ 42000000,$ 158348367,$ 270248367,58,191,64,6.8,99.0315643419044,680
tt0110912,Pulp Fiction,Pulp Fiction,1994,1994-10-28,"Crime, Drama",154,USA,"English, Spanish, French",Quentin Tarantino,"Quentin Tarantino, Roger Avary",Miramax,"Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta, Samuel L. Jackson, Phil LaMarr, Frank Whaley, Burr Steers, Bruce Willis, Ving Rhames, Paul Calderon, Bronagh Gallagher, Rosanna Arquette, Eric Stoltz, Uma Thurman","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.9,1780147,$ 8000000,$ 107928762,$ 222831817,94,3058,289,8.9,125.85012745822,890
tt0119396,Jackie Brown,Jackie Brown,1997,1998-03-27,"Crime, Drama, Thriller",154,USA,English,Quentin Tarantino,"Quentin Tarantino, Elmore Leonard",Miramax,"Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda, Michael Keaton, Robert De Niro, Michael Bowen, Chris Tucker, LisaGay Hamilton, Tommy 'Tiny' Lister, Hattie Winston, Sid Haig, Aimee Graham, Ellis Williams, Tangie Ambrose",A middle-aged woman finds herself in the middle of a huge conflict that will either make her a profit or cost her life.,7.5,309422,$ 12000000,$ 39673162,$ 39673162,64,545,174,7.5,104.315343830693,750
tt0119771,Nejasná zpráva o konci sveta,Nejasná zpráva o konci sveta,1997,1997-02-13,"Fantasy, Mystery",154,"Czech Republic, Slovakia",Czech,Juraj Jakubisko,Juraj Jakubisko,Ceská Televize,"Deana Horváthová, Milan Bahúl, Joachim Kemmer, Klára Issová, Jana Svandová, Jirí Krytinár, Vladimír Javorský, Pavel Landovský, Peter Simun, Yvetta Kornová, Sandra Pogodová, Lucie Vondrácková, Vladimir Sadilek, Matej Hádek, Oldrich Navrátil","",7,319,"","","",,5,1,7,105.185496101916,700
tt0154167,Azhakan,Azhakan,1991,1991-12-15,"Drama, Romance",154,India,Tamil,K. Balachander,K. Balachander,"","Mammootty, Bhanupriya, Geetha, Madhoo","Three women, four children, and many more people besides have deep love for a hotel owner, yet choosing the right partner for this man takes some doing.",7,177,"","","",,2,,7,97.6139644871708,700
tt0157122,L'infedele,Trolösa,2000,2000-09-15,"Drama, Romance",154,"Sweden, Italy, Germany, Finland, Norway","Swedish, French",Liv Ullmann,Ingmar Bergman,Classic,"Lena Endre, Erland Josephson, Krister Henriksson, Thomas Hanzon, Michelle Gylemo, Juni Dahr, Philip Zandén, Thérèse Brunnander, Marie Richardson, Stina Ekblad, Johan Rabaeus, Jan-Olof Strandberg, Björn Granath, Gertrud Stenung, Åsa Lindström",An imaginary woman recollects the painful experience of adultery to a storyteller.,7.4,3248,"",$ 739055,$ 918033,79,29,37,7.4,103.080122408612,740
tt0159365,Ritorno a Cold Mountain,Cold Mountain,2003,2004-02-13,"Adventure, Drama, History",154,"USA, Italy, Romania",English,Anthony Minghella,"Charles Frazier, Anthony Minghella",Miramax,"Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone, Kathy Baker, James Gammon, Charlie Hunnam, Jack White, Ethan Suplee","In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",7.2,138013,$ 79000000,$ 95636509,$ 173013509,73,697,173,7.2,97.1256159237708,720
tt0173042,Premaloka,Premaloka,1987,1987,Drama,154,India,Kannada,V. Ravichandran,"Hamsalekha, V. Ravichandran",Sri Eswari Productions,"V. Ravichandran, Juhi Chawla, Vishnuvardhan, Ambarish, Tiger Prabhakar, Srinath, Lokesh, K. Vijaya, Urvashi, Jayachitra, Leelavathi","Ravichandran tries to woo a classmate. On being spurned, he poses as a mysterious biker and sweeps her off her feet.",7.7,469,"","","",,2,,7.7,110.046372942792,770
tt0182251,Jab Pyaar Kisise Hota Hai,Jab Pyaar Kisise Hota Hai,1998,1998-05-22,"Comedy, Drama, Romance",154,India,Hindi,Deepak Sareen,"Honey Irani, Honey Irani",Tips Films Pvt. Ltd.,"Salman Khan, Twinkle Khanna, Johnny Lever, Farida Jalal, Saeed Jaffrey, Himani Shivpuri, Anupam Kher, Aditya Narayan, Namrata Shirodkar, Harish Patel, Ravi Baswani, Mushtaq Khan, Prateek Arora, K.D. Chandran, Vivek Vaswani","A Playboy's past catches up with him, when he wants to get married",5.8,2312,"","","",,7,1,5.8,86.2502058019243,580
tt0200191,Så vit som en snö,Så vit som en snö,2001,2001-02-16,"Biography, Drama, Romance",154,"Sweden, Denmark",Swedish,Jan Troell,"Jimmy Karlsson, Karl-Erik Olsson-Snogerod",Film i Skåne,"Amanda Ooms, Rikard Wolff, Björn Granath, Björn Kjellman, Stina Ekblad, Shanti Roney, Hans Pålsson, Antti Reini, Reine Brynolfsson, Maria Heiskanen, Ben Becker, Alexander Bergman, Håkan Berlin, Julia Calvo-Andreasson, Ulf Clarén","Inspired by real-life Elsa Andersson, this mostly fictional movie tells the story of her upbringing as a farmer's daughter, in the early 1900s, who dreams of getting away from the farm and becoming an aviatrix.",6,464,SEK 30000000,"","",,5,4,6,83.5545689333374,600
tt0214486,Arangetra Velai,Arangetra Velai,1990,1990-02-23,"Comedy, Thriller",154,India,Tamil,Fazil,"Fazil, Lal",Sunitha Productions,"Prabhu, Revathi, V.K. Ramasamy, Janakaraj, Venniradai Moorthy, Jai Ganesh, Delhi Ganesh, Vijayaraghavan, Mammukoya, Sukumari, Anju, Baby Indira",Three unemployed people - two men and one woman - find the answer to their money problems when they receive a call from a kidnapper through a cross connection.,7.1,161,"","","",,1,,7.1,99.6091342073936,710
